app_id,GOOD,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02
-11629,1,0,SB,41,1,R,1,1585,1,2,0,5.89,2.76,7.56,848.74,0.130098003,66.546875,2,2,0,3,0
-13962,1,1,SG,18,0,P,1,1487.964286,1,1,17.48666667,14.175,4,20.07733333,322.7433333,0.307978739,76.921875,2,1,0,3,0
-14158,1,1000,SF,24,1.19,R,2,1465.5,1,1,0,8.86,1.89,16.42,440.67,0.135908501,49.0859375,1.56,1,0,3,-1
-12584,1,0,SN,22,1,R,2,1454.5,1,2,0,9.225555556,5,15.07,766.45,0.93223764,30.55859375,3,1,0,3,0
7435,0,0,SO,33,1,P,1,1450,1,3,0,28,15,54,557,0,78.921875,1,2,0,2,1
-14188,1,1,SO,21,0,P,1,1450,1,2,24.29666667,12.57,1,29.75666667,423.417,0.052362083,59.046875,1,1,267,3,1
1122,0,1140,SD,32,1.3,R,4,1350,1,4,155,11.93,2.44,28.49,434,0.121882606,83.296875,4,4,0,3,0
12295,0,0,SE,28,6,R,1,1250,1,1,46,2,2,2,883.57,0.087368111,60.8671875,2,1,1218,3,1
-10687,1,0,SN,20,2,R,1,1200,1,1,12,7.25,1.07,11.6,506.28,0.134245518,55.4375,2,1,489,3,0
9861,1,0,SC,18,1,P,1,1200,1,1,13.29,13.2275,1.05,21.09166667,1,0.367211517,90.875,1,1,23,3,1
13414,0,1500,SO,21,1.07,R,2,1171.5,1,2,74.41,10.55,1.39,24.63666667,416.91,0.161422226,59.6875,2,2,0,3,1
7926,1,0,SO,21,1,P,1,1150,1,2,1,15,3,15,304.315,0,94.515625,1,1,183,3,-1
14277,1,2,SC,20,2,P,1,1070.875,1,2,0,20,2,34,596.23,0.11453751,93.546875,1,2,638,3,2
-10307,1,1140,SO,38,1,R,3,1050,1,2,0,13.00666667,0,19.56,0,0.144046756,14.2421875,3,1,0,3,1
2330,0,0,SA,19,0,P,1,1050,1,5,0,16,2,16,744,0.117492588,83.421875,2,4,287,3,0
11214,1,0,SE,20,1,P,1,1001.75,1,1.4,0,14,0,54,336.29,0.008797282,77.578125,2,0,138.9966667,5,1
11178,0,520,SO,20,1.1,R,7,1000,1,1.85,154,12.92,1.39,21.94,154,0,27.91796875,4,0,191.27,5,0
12963,1,460,SM,21,3,R,1,1000,1,3,15,4,4,16,868,0,66.59375,1,2,1088,1,-1
-11394,1,1100,SO,41,2,H,1,950,1,1,23.56,6,4,4,496,0.392067464,50.9296875,2,1,0,3,1
-13375,1,0,SM,22,2,P,1,950,1,3,0,12.01,3,19.57,632.93,0.184806606,54.3984375,2,2,383,3,0
-7580,1,0,SA,19,1,P,1,950,1,1.29,8.6,12,2,12,122.65,0.013648234,93.109375,1,0,28.19,5,0
-12210,1,440,FT,20,1.53,R,1,942.5,1,1.59,0,9.21,1.56,15.48,578.5908333,0.512248645,29.5,2,0,153.18,5,0
5235,1,1,SL,19,1,P,1,922.5,1,2,0,25,0,82,355.94,0,60.9921875,1,2,0,3,1
13987,1,0,SB,24,1.17,R,1,891.5,1,1,1,7.63,1.42,13.13875,399.6458333,0.14724072,66.125,2,1,0,3,1
-1845,1,0,SB,18,0,R,1,874.1,1,3,1,11.625,0,25.525,390.2641667,0.110966494,50.890625,2,2,0,3,1
7912,1,0,SB,19,1,P,1,869.25,1,1.46,1,6,0,52,152.244,0,85.703125,1.11,0,20.14,5,-1
-14226,1,0,SO,18,0,P,1,864,1,2,8.403333333,18,0,28,156.33,0.087779402,64.953125,1,2,0,3,-1
-2352,1,0,SH,18,0,P,1,859.75,1,1.31,1,4,0,24,240.0936667,0.016783907,75.984375,1.09,0,49.16428571,5,-1
11183,0,360,SL,21,1,P,1,859.5,1,1,0,15,4,7,393.82,0.137419649,58.09375,1,1,0,3,1
7260,1,0,SO,18,1,P,2,850,1,1.14,8.59,7,0,9,121.33,0,53.953125,1,0,54.806,5,1
-1174,1,0,SE,18,0,P,1,845,1,1,7.043333333,6,0,23,220.7475,0,80.1875,1,0,0,3,0
-2222,1,0,SC,19,0,P,1,843,1,2,1,20,1,43,139.56,0,86.6875,1,1,0,3,1
9692,0,0,SE,20,1,P,1,836,1,1,0,15,3,33,305.1675,0.181348952,67.46875,1.16,1,0,3,-1
1328,1,0,SD,18,0,P,1,833.375,1,1.31,0,12.26,0.56,11,128.732,0.177484739,75.4375,1,0,5.18,5,1
2412,1,0,SL,18,0,P,1,816.5,1,1,1,17,0,40,241.574,0,77.453125,1.19,1,0,3,-1
1474,0,1,SM,18,0,P,2,811,1,2,149,24,0,46,286.77,0.107728341,49.8359375,1,2,12,3,1
6936,0,0,SB,21,1,P,2,800,1,1,74,6,4,2,216,0.259172777,46.1875,1,1,0,3,1
12377,1,1,SO,19,1,P,1,787,1,2,14,19,1,79,278.2983333,0.140368199,89.34375,1,2,0,3,1
-5237,1,0,SB,19,1,P,1,770.225,1,1.36,0,13.85,1.01,32.62066667,136.383,0.031362679,76.421875,1.13,0,0.24,5,-1
-6669,1,1,SD,19,1,P,1,752.5,1,1,0,18,0,8,164.4322222,0.30240519,55.3515625,1,1,0,3,1
-944,1,0,SA,21,0,P,1,751.7,1,1,0,22,2,29,186.1,0.045781942,78.59375,1.14,0,0,3,-1
-8095,0,0,SL,19,1,P,2,750,1,3,254.22,13.5,17,32,2316.565,0.645149116,59.78125,3,3,658,3,0
7480,0,0,SE,18,2,P,1,750,1,1,0,6,1.46,15,338.56,0.359872347,48.8828125,2,1,339,3,0
2757,1,0,SA,20,0,P,1,750,1,3,50,26,3,98,366.01,0,72.40625,1,1,1,3,1
-11205,0,0,SO,22,1,P,2,749.6,1,2,92.37333333,5,4,19,363.625,0.238935809,45.015625,3,1,0,3,1
-14670,1,0,SC,20,0,P,1,743,1,1,0,13.30181818,2,26.0675,146.402,0.127381431,71.671875,1.16,0,-3.48E-13,5,3
2274,1,0,SA,19,0,P,1,737.5,1,1,0,21,2,65,219.8033333,0.145490332,61.6171875,1,1,0,3,1
2805,1,0,SD,18,0,P,1,725.5,1,1.211828571,8.83,24,0,29,128.942,0.027873391,64.890625,1,0,11.41,5,-1
14029,0,1,SO,18,1,P,1,717,1,1,72.01333333,3,1.11,13,407.74,0.161179983,93.25,2,1,428,3,1
-11565,0,0,SB,45,1,R,1,704,1,1,77.23,5.74,3.31,6.86,732.53,0.116199178,43.53125,1.44,1,0,3,-1
1797,0,0,SN,19,0,P,3,700,1,1,74,5,0,6,61,0.20227678,31.69921875,2,1,0,3,0
167,1,0,SL,22,5,P,1,700,1,1,1,23,4.63,33,1,0.128964513,61.296875,2,1,275,3,1
-12060,0,0,SH,20,2,R,1,700,1,1,154,10.59333333,0,18.13333333,310.61,0.15242342,25.140625,1,1,595,3,-1
568,0,200,SB,20,1,P,1,700,1,3,74.69,13.81,3,35.1,744,0,84.953125,2,2,737,3,0
-1546,0,0,SA,23,0,P,1,682.1666667,1,2,80.405,9.5,3.03,12,343.17,0.286302564,44.09375,1,1,0,3,-1
-7721,1,0,SL,18,1,P,1,682,1,1.11,0,14,0,3,163.615,0.029426694,49.8046875,1,0,23.91,5,0
7011,1,0,SL,19,1,P,1,667.5,1,1,4.74,12,1,20,133.005,0.05435417,62.40625,1,1,0,3,1
-12244,0,260,SB,21,0,R,2,658,1,1,0,11.455,1.7525,27.74104167,435.07,0.013974688,59.53125,1,1,2,3,-1
2907,1,0,SM,18,0,P,1,654.0833333,1,1,7.56,15,0,18,72.94,0,84.34375,1.0725,1,0,3,-1
6552,1,0,SD,18,1,P,1,651,1,1,0,10.881,0.546071429,4,184.5438889,0.16463271,68.921875,1.062,1,0,3,-1
-8226,0,0,SL,25,1,R,1,650.5,1,1,206,6.805,1.73,15.72,515.0933333,0.528540449,22.078125,2,1,0,3,0
2120,1,0,SO,19,0,P,3,650,1,2,0,12.275,2,32.01,496,0.071773666,80.40625,3,1,0,3,0
-13281,1,1,SO,20,2,P,1,650,1,1,13.66,11,4,81,29,0.068961559,62.0546875,1,1,706,3,1
6434,0,1,SA,20,1,P,2,642.3333333,1,1,0,12.54,3,28.02666667,330.76,0.042340003,54.8203125,1,1,0,3,1
-7622,1,0,SH,18,1,P,1,625.375,1,2,20,12.7525,0,23.97333333,114.41,0.154342409,57.984375,1,1,0,3,1
14590,1,1,SL,18,1,P,1,619.2142857,1,1,0,11.531,1,1,126.27,0,67.25,1,1,0,3,-1
8195,1,0,SA,19,1,P,1,608.7083333,1,1.28,0,17,2,5,103.05,0,93.6875,1,0,13.99333333,5,1
-2730,1,1,SB,20,0,P,1,606.5,1,1,0,0,1,10,173.06,0,58.9296875,1.18,1,0,3,-1
5500,1,0,SB,19,1,P,1,600.3333333,1,1,6.95,12.8175,1,9,59.07,0.231331948,44.2890625,1.08,1,0,3,-1
-6247,1,0,SA,18,0,P,2,600,1,1,9.573333333,3,0,19,0,0.152002608,53.6875,1,1,0,3,0
12536,1,0,SM,20,2,P,1,600,1,1,94,14,4,26,214.85,0.012903373,84.34375,1,1,0,3,1
10126,0,0,SF,19,1,P,1,600,1,1,59.58,27,0,1,185,0.157520353,39.671875,1,1,391,3,1
4329,1,0,SM,18,0,P,1,596,1,1,5.783333333,7,0,2,151.6966667,0,69.15375434,1,1,0,3,1
1514,1,0,SF,19,0,P,1,576.25,1,1,8.67,0,0,13,123.71,0.227074601,55.1328125,1,1,0,3,1
14662,0,260,SO,19,1,P,1,564.75,1,1,9,4,0,3,224.49,0.326654173,69.453125,2,1,0,3,0
-12702,0,0,SO,20,1,P,1,556,1,2,0,9.715,1,16.84,321.1533333,0.262078135,18.72265625,2,0,71.81,5,1
11451,0,280,SO,18,2,P,1,546.1875,1,1,0,10,0,38,259.62,0.118647796,64.59375,2,1,0,3,1
-7544,1,0,SB,18,1,P,1,544,1,1,3.57,6,0.471428571,24,84.9925,0,60.734375,1,1,0,3,0
2767,1,0,SO,19,0,P,1,541,1,1,0,5,2,2,211.72,0.547957424,59.234375,1.21,1,0,3,-1
-12668,0,0,SL,18,1,P,1,534.0892857,1,1,0,21,1,8,257.38,0.046667296,35.4765625,2,1,0,3,1
2760,0,0,SL,19,0,P,1,520.5,1,2,0,10.84,1,28.70666667,240.89,0.214536485,62.5390625,1,1,0,3,1
1473,1,0,SO,19,0,P,1,516.75,1,1.148333333,0,1,0,14.17,139.9633333,0.058954298,64.078125,1,0,18.99,5,1
-9576,0,0,SA,18,1,P,1,515.375,1,1.17,0,9.32,0.56,1,198.9,0,76.703125,2,0,41.48,5,1
5556,1,0,SO,18,1,P,1,504,1,2,0,14.85,0,24.06,90,0.202995509,74.515625,1,2,0,3,-1
-11421,1,1,SO,18,1,P,1,500.25,1,1,16,11.56733333,0.43,24.37166667,193.8191667,0.246390832,64.078125,3,1,0,3,1
-10445,1,600,SA,20,1.073333333,P,2,500,1,2,0,8,2,31,497,0.721210232,82.203125,1,2,0,3,-1
4317,0,0,SB,18,1,P,2,500,1,1.25,56,6.21,0,9.793,287.1,0.34919933,40.0546875,1,0,78.4,5,0
14053,0,0,SA,24,1.82,R,1,500,1,1,69,8.49,0,14.35,123,0.311809965,18.828125,1,1,1314,3,0
-4541,0,0,SO,22,1,P,1,500,1,1,0,20,5,31,291.52,0,77.015625,1,1,173,3,1
4484,1,0,SH,18,1,P,1,500,1,1,7.99,9,0,6,1,0.0520515,61.9921875,1.13,1,0,3,-1
9196,1,0,SB,18,1,P,1,500,1,1.12,10.90333333,10,0,22,1,0.009219033,67.75,1,0,10.82,5,0
-13697,1,1,SA,19,1,P,1,500,1,2,0,12.831,1.603333333,3,0,0.130265757,68.453125,1,2,359,3,-1
-145,0,1,SB,21,0,P,1,500,1,1.6,50,15,5,7,496,0,63.2265625,2,0,150,5,0
-1104,1,0,SO,20,0,P,1,500,1,3,0,17,1,19,30,0.238122681,68.421875,1,2,0,3,-1
-108,1,400,SB,18,0.77,P,1,490,1,1.11,0,4,0.39,5,182.106,0.095065985,35.953125,1,0,23.26,5,1
2732,1,0,SO,19,0,P,1,485.5416667,1,1,0,8,1.176,16,58.9,0,73.578125,1.04,1,0,3,-1
7666,0,1,SO,18,1,P,1,480.875,1,1.09,0,14,0,29,219.3333333,0.028912129,39.6484375,2,0,19.66,5,0
-11876,0,1,SO,20,2,R,1,473.5,1,1.24,94,10.835,0.98,17.73,264.15,0,39.921875,1,0,187.9783333,5,1
13595,1,280,SB,19,1,R,1,473.5,1,1,14,9.35,0.986571429,15.62333333,189.0291667,0,21.55078125,1,1,0,3,1
8417,0,0,SC,19,1,P,1,465.8333333,1,1,0,7,0,28,223.955,0,26.3984375,1,1,0,3,1
599,0,400,SO,23,0.89,R,1,461,1,1,50.26,7.94,1.08,11.04,321.7066667,0,49.44519531,1,0,0,3,1
7426,0,1,SO,20,1,P,1,459.5,1,1.23,0,4,3,9,264.92,0.154747906,74.765625,1,0,40.69833333,5,1
-10688,1,0,SO,18,1,P,1,456.1875,1,1,15,10.57733333,0.354,18.75,131.3241667,0.270680274,59.4453125,2,1,0,3,1
5539,1,0,SO,19,1,P,2,453.5,1,2,33.65,10,0.74,39,125.93,0,26.53515625,1,2,0,3,-1
2491,0,0,SA,19,0,P,1,451.375,1,2,35.86,10.3025,0,14,210.9671429,0,72.921875,1.09,0,41.72,5,-1
-7908,0,0,SO,21,1,R,1,450,1,1,66.19,7.44,1.48,7,589,0.343539579,80.03125,2,0,73.72,5,0
-12809,1,1,SO,19,0.53,P,1,450,1,2,20.05,4,3,7,280.73,0.08258119,62.4375,2,1,0,3,0
8482,0,0,SK,19,1,P,2,440.8333333,1,1,30,15,0,10,151.77,0.119093907,49.671875,1.41,1,0,3,-1
-6252,1,0,SB,18,1,P,1,435.7,1,1,0,18,0.55,19,133.31,0.227743183,56.015625,2,1,0,3,0
-6267,1,0,SO,18,1,P,1,430,1,1.08,0,0,0,4,148.18,0.020044579,65.078125,1,0,20.07,5,0
5449,0,600,SO,18,1,P,1,427,1,1,86,10,0.62,30,265.1225,0.536332728,57.3125,2,1,0,3,1
4915,1,0,SM,18,0,P,1,424,1,1.181428571,16,2,0,7,115.612,0.061317967,49.859375,1,0,12,5,1
4401,1,0,SA,19,1,P,1,406.25,1,1.21,29,25,2,26,98.7,0,59.3125,1,0,25.69,5,0
5422,1,1,SO,18,1,P,1,405.5833333,1,1,4.603333333,23,0.370714286,6,75.53222222,0.065172181,48.703125,1,1,0,3,1
9054,0,1,SD,20,1,R,1,400,1,1,147.11,4,4,35,500.5,0.27481498,48.1171875,1,1,0,3,1
-13676,1,1,SA,20,0,P,1,400,1,2,8,20,1,26,0,0.08377876,77.171875,1,2,0,3,0
6589,1,0,SO,18,1,P,1,391,1,1,1,11.79311905,0,2,71.19222222,0,53.75,1.05,1,0,3,-1
4094,1,0,SC,18,1,P,1,385.3333333,1,1,0,12,0,12,79.80222222,0.12064098,60.5078125,1.05,1,0,3,-1
-1818,0,0,SC,19,0,P,1,380.5,1,1,46,11.29,2,19.215,176.085,0.09513154,68.1875,1,1,0,3,0
4446,1,0,SO,19,1,P,1,365.9166667,1,1,0,12.94361905,1.296,6,28.12222222,0,59.97630729,1,1,0,3,1
2801,0,0,SO,19,0,P,1,359.875,1,1,36,11,3,23,142.7506667,0.060001138,54.2265625,1.05,1,0,3,-1
4308,1,0,SC,18,1,P,2,350,1,1.11,0,4,0,8,154,0.054158772,52.609375,1.32,0,40.22,5,-1
-8206,0,1,SM,18,1,P,2,350,1,1,68.91,5,0,43,62,0.009462083,57.8515625,1.33,1,0,3,-1
9061,0,1,SO,21,1,P,2,350,1,1,0,8.25,2.35,3,0,0.080591172,39.4453125,3,1,1164,3,1
4453,1,1,SA,19,1,P,1,350,1,1,0,5,2,3,0,0.061892646,84.578125,1.14,1,0,3,-1
-7523,0,0,SA,20,1,P,1,350,1,1,1,8.885,1,4,155,0.156641779,56.7578125,1,1,0,3,0
-10594,0,1,SD,19,1,P,1,350,1,2,0,0,2,6,316.22,0.246204262,63.9921875,2,2,234,3,1
10830,0,0,SO,20,1,P,1,343,1,1,0,7,2,11,212.73,0.195923534,53.15625,1,1,0,3,1
2455,1,0,SB,18,0,P,1,321.5,1,2,25.235,0,0.51,18,180.13,0.162788764,63.3125,1,1,0,3,-1
10873,0,100,SB,26,0.98,R,1,317,1,1,91.79333333,4.97,1.21,7,562.96,0.06307837,37.34375,1.25,1,0,3,-1
-13526,0,0,SA,20,2,R,1,300,1,2,81.46,8.415,0.79,15.05333333,286.66,0.141364783,32.7734375,1,1,288,3,0
4032,1,0,SO,18,1,P,1,300,1,1.09,25.00333333,7,0,16,106.7425,0.518819405,52.0078125,1,0,28.33,5,1
8450,0,0,SO,18,1,P,1,259.0833333,1,1,0,12.30333333,0,15.38066667,87.41666667,0.255729467,46.71875,1,1,0,3,0
-13779,0,1,SO,18,0,P,5,250,1,1,90,5.27,0,3,279,0,55.86754492,2,1,40,3,1
-11310,1,0,SC,17,2,P,2,250,1,1.21,35.32,10,1.52,26,244.58,0.222859389,58.65625,3,0,196.18,5,0
6015,1,1,SF,18,0,P,2,250,1,1,30.24666667,17,0,17,0,0,67.390625,1.31,1,0,3,-1
-13298,1,1,SN,21,3,R,1,250,1,1.315,26.5,13.15,1.86,23.73,93,0,71.90625,1,0,180.2683333,5,1
-14427,1,1000,SL,31,1.91,R,1,250,1,1.595,13.9,14.565,3.73,20.95,0,0.028152737,52.3515625,2,0,196.92,5,0
4216,1,0,SM,18,1,P,1,250,1,1.07,29.24,22,0,38,31,0.042476073,50.15625,1.05,0,12.15,5,-1
-4330,0,3000,SK,24,1,P,1,250,1,2,74.12,13.41,2,29.87,31,0.07230227,74.671875,1,1,0,3,1
7542,1,1,SO,19,1,P,1,250,1,1,19.7,7,1,33,0,0.201188432,99.65625,1,1,0,3,0
-14059,1,0,SF,34,0,P,1,250,1,2,0,7,3.91,10,701.82,0.132326083,30.40625,1,1,0,3,0
13687,1,120,SA,18,0.71,P,1,233,1,1.11,26.34166667,13.54,0.51,17.64,61,0.382257526,57.5078125,1.14,0,3.01,5,-1
-2737,1,0,SA,18,0,P,1,223.075,1,1,21.02333333,14,0,15,27.11,0,73.046875,1.11,1,0,3,-1
-11770,1,0,SB,19,2,P,2,200,1,1,0,11.025,0,21.08,152.168,0.123076895,39.265625,3,1,61,3,0
-5119,0,0,SM,21,1,P,2,200,1,4,345,8.34,2.456666667,4,62,0.275615769,60.234375,4,3,0,3,0
-11321,0,0,SF,18,1,R,2,200,1,2,0,11.81333333,1.09,20.24,265.66,0.227998498,33.046875,2,2,0,3,1
85,0,0,SL,19,1,P,1,200,1,1,64.31,11,0,7,0,0.126737971,68.09375,1.17,0,0,3,-1
6927,1,0,SA,19,1,P,1,200,1,2,0,25,0,48,90.68571429,0.019277828,76.4375,1,2,0,3,3
9532,1,0,SA,18,1,P,1,200,1,1,1,2,0,4,79.225,0.100800871,73.296875,2,1,0,3,0
-10683,1,0,SN,42,1,H,1,200,1,3,0,8.23,6,11.88,1194.4,0.147287459,55.703125,2,3,213,1,1
11317,0,240,SC,20,1,P,1,200,1,3,1,4,1,58,357.93,0.03397793,33.015625,1,3,241,3,1
11370,0,2,SE,22,1,R,1,200,1,1,92.745,8.83,1.21,16.43333333,409.53,0.39035715,25.39453125,1,1,0,3,1
12041,0,0,SM,19,1,P,1,200,1,1.28,84.945,19,2,41,0,0.457555306,49.34375,2,0,181.25,5,1
-14599,1,460,SO,19,1,P,1,200,1,1,15.644,17,1,7,38.20966667,0.102199312,75.09375,1,1,0,3,3
1065,1,0,SO,18,0,P,1,176.5,1,1,26.91333333,3,0,6,45.26333333,0.050956926,44.765625,1.03,0,0,3,-1
2772,1,0,SC,18,0,P,2,150,1,1,0,11,0.397380952,4,128.795,0.196761611,56.8125,1,1,0,3,1
11290,0,0,SO,28,1.05,R,1,150,1,1,65.10666667,6.185,1.32,10.25,444.92,0,47.58808594,2,1,0,3,1
-4860,1,1,SM,19,1,P,1,150,1,1,21.89,17,1,37,32,0.239742925,92.546875,1.03,1,0,3,-1
-323,1,0,SO,17,0.675,P,1,150,1,1.08,23.96,3,0.45,23,84.69,0.075774368,80.609375,1.06,0,4.27,5,-1
1807,1,0,SA,19,0,P,1,150,1,1.238333333,25.91666667,3,0,30,79.93,0,61.0703125,1,0,17.56,5,1
3178,0,1000,SO,24,0,R,1,150,1,1.62,75.285,8.95,2.22,11.99,485.13,0,49.57181641,2,0,93.34,5,1
-4423,1,0,SB,18,1,P,2,100,1,1,0,13.04,0.546666667,27.06,106.32,0.098440077,71.234375,2,1,0,3,0
-13074,0,800,SB,25,0.93,R,2,100,1,1,170.17,6.215,1.35,10.59,459.43,0.042716621,57.2421875,3,1,0,3,0
7726,1,0,SA,19,1,P,1,100,1,1,125,14,2,12,124,0.867839199,68.078125,1.33,1,0,3,4
11749,0,0,SO,19,1,P,1,100,1,1.06,53.2625,0,0,13.72,63,0.137357868,53.0390625,1,0,72.79436508,5,1
605,1,0,SD,19,0.586666667,P,1,100,1,1.25,59.28,10.57,1,19.67,122.4841667,0.036237436,22.56640625,1.09,0,12.01,5,-1
-506,0,0,SN,35,0,H,1,100,1,2,176,9.58,1,18.39,249,0.014950743,64.59375,1,1,0,3,1
-1362,1,100,SO,20,0,P,1,100,1,1,0,8.713333333,1.866666667,4,124,0.016231088,60.6171875,2,1,23,3,1
-1851,1,0,SO,19,0,P,1,100,1,1,24,21,2,12,65.81,0,63.0234375,1,1,0,3,1
-9106,0,0,SB,19,3,R,1,50,1,2,0,0,1.77,2,495.74,0.216639401,51.609375,2,2,0,3,0
-9512,0,0,SD,22,1,P,1,50,1,1,345,10,2,1,271.14,0.068946812,47.21875,1,1,44,3,1
-11715,0,1,SD,37,1,H,1,50,1,5,0,0,7,2,1812.1,0.252441139,42.1796875,1,4,0,3,1
507,1,0,SA,18,0,P,1,50,1,1,31.18333333,0,0,5,135.12,0.024630367,50.59375,1,0,0,3,1
2793,1,0,SL,18,0,P,1,50,1,1,20.99666667,10,0,18,73.27666667,0.021523522,69.078125,1.05,1,0,3,-1
2834,0,0,SL,18,0,P,1,50,1,1.16,80.865,17,0,6,62,0.759233011,32.296875,1.19,0,44.07,5,-1
3282,1,0,SC,18,0,P,1,50,1,1,39.7915,9,0.42,77,162.7366667,0.173872163,38.2109375,1,1,0,3,1
-3100,1,1200,SE,28,1,P,1,18450,2,4,1,23,11,31,4482.972,0.189425975,77.109375,1,3,68,3,-1
14218,1,1900,SM,38,0,H,3,15000,2,3,70,11.52,0,23.66,4216,0.115291563,51.5625,2,3,793,3,0
-10818,1,860,SD,24,1,H,6,12900,2,5,0,9.38,1,25.89,6790,0,58.23874023,3,5,105,3,1
13620,1,0,SE,26,1,P,1,12900,2,1,26.92,0,4.74,7,6634,0,82.390625,1,1,0,3,0
9216,0,0,SO,39,1,H,1,12700,2,3,26,11.77,3,22.11,6294,0,77.375,2,3,2013,3,0
8976,0,0,SL,18,1,P,2,8950,2,2,0,3,27,4,342,0,53.28125,1,1,0,3,1
880,0,0,SN,25,1,H,1,8450,2,3,0,9,2,20.05,2697,0.010162561,35.8125,1,2,903,3,0
-14387,1,0,SF,26,1,R,2,8250,2,1,0,10.46,0,19.19,5146,0.101533093,41.015625,1,1,908,3,1
4878,1,760,SO,23,1,H,1,7500,2,3,24,13.298,1,25.44,278,0.160381166,67.203125,2,3,0,3,0
-5203,1,1,SO,24,2.64,R,2,7350,2,2.17,40,23,7.39,77,2480,0,84.71875,1,0,1344.12,5,2
11,1,2400,SC,45,1,R,1,6928.833333,2,2,0,12.77,7,20.81,2853.76,0.165088444,66.625,1,1,0,3,-1
1261,0,1,SC,22,0,R,3,6300,2,2.49,0,9.26,3.71,4,649,0.184247049,61.3125,1,0,537.97,5,1
