"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","id","app_id"
"74","2005","07","06","Wednesday",1,"SL",22,4,"R",1.23,350,0,16,1.22,25.92,0.087539523,23.68,14.05,2,48.28125,1.08,1.82,"5",271.21,0,"dm",86
"77","2005","07","06","Wednesday",0,"SO",18,0.43,"P",1.01,329,86.68,15.56,1.04,4,0.027053592,23.75,26,0.249999999999999,50.9765625,1.04,1.8,"5",16.3199999999995,0,"dm",80
"81","2005","07","06","Wednesday",1,"SL",19,1,"P",1.2,500,0,10,2,22,0.099442833,44,9,0,68.78125,2,0,"3",1150,2,"dm",53
"83","2005","07","07","Thursday",0,"SO",20,1,"P",1.25,773,306.61,15.66,1.35,15,0,10.81,2,1.34,9.8125,1,1,"5",72.32,0,"dm",85
"86","2005","07","07","Thursday",0,"FT",22,1.28,"R",1.19,1106,532.17,16.24,1.09,15.93,0.096788399,11.54,7.83,1.45,50.9293359375,1.03,1.92,"5",25.1799999999998,0,"dm",62
"97","2005","07","07","Thursday",1,"SO",29,1.33,"R",1.27,1456,606.66,16.36,1.09,13.69,0.209901922,12.43,7.48,1.45,60.078125,1.03,2.02,"5",19.4099999999998,0,"dm",67
"100","2005","07","07","Thursday",1,"SD",18,0.68,"P",1.09,495,196.72,14.35,1.07,53,0.024618474,8.53,15,2,55.578125,1.04,2.1,"5",3.8699999999995,0,"dm",45
"104","2005","07","07","Thursday",0,"SA",19,0,"P",1.14,150,183.27,9,2,23,0.098250776,16.91,7,3,83.9375,1,1,"3",0,1,"dm",64
"106","2005","07","08","Friday",1,"SB",20,2.44,"P",1.24,2146.5,1262.49,31.27,1.19,7,0.065083901,70.58,15,15,64.1875,1.12,2.06,"5",458.17,0,"dm",74
"111","2005","07","08","Friday",0,"SC",36,1,"H",1.22,4700,124,17,1.34,22.91,0.027851643,12.14,13.01,1,80.25,1.11,1.92,"5",95.8499999999998,0,"dm",61
"116","2005","07","08","Friday",1,"SK",18,0,"P",1.1,788.7,187.11,33,1,10,0,17.045,27,0,46.4296875,1.08,1.63,"3",0,0,"dm",70
"118","2005","07","08","Friday",0,"SO",18,0.46,"P",1,100,124,4,1,16.91,0.092462448,17.79,12.43,0.65,27.51953125,1,1,"3",0,0,"dm",106
"121","2005","07","08","Friday",0,"SO",20,2,"P",1,569.5,114.57,5,1,9,0.000528448,1,0,0,55.4453125,1.12666666666667,2.21,"3",0,0,"dm",94
"122","2005","07","08","Friday",0,"SO",17,0,"P",1.08,369.166666666667,182.63,19.19,1.04,2,0.238042976,22.06,4,0.349999999999999,56.40625,1.03,1.62,"5",0.019999999999479,0,"dm",111
"124","2005","07","08","Friday",160,"SB",18,0.53,"P",1.04,486.291666666667,143.23,18.14,1.09,32,0,18.22,21,0,76.9375,1.05,1.86,"5",10.4299999999995,0,"dm",114
"126","2005","07","08","Friday",100,"SN",26,0,"P",1.15,500,352.77,22,1,5,0.089765755,0,10,6,50.25,1.07,3,"3",0,0,"dm",115
"127","2005","07","08","Friday",0,"SL",22,5,"P",1,700,1,1,1,33,0.128964513,1,23,4.2,61.296875,2,1,"3",275,1,"dm",116
"130","2005","07","08","Friday",0,"SO",24,1,"P",1.1,845.5,196.15,16.21,1.09,16.34,0,10.79,12.51,2.07,44.265625,1.03,2.13,"5",34.4199999999997,0,"dm",96
"131","2005","07","08","Friday",0,"SO",18,0.39,"P",1.06,562.291666666667,205.04,39,1,24,0.053124871,35.65,19,0.339999999999999,74.8125,1.06,1.8,"3",0,0,"dm",92
"133","2005","07","08","Friday",0,"SC",18,0,"P",1.05,616,152.66,7,1,76,0.106758389,9.15,23,0.77,67.328125,1.08,2.19,"5",33.0399999999995,0,"dm",91
"135","2005","07","09","Saturday",0,"SC",20,2,"P",1,6000,1094.72,6,2,29,0.12147477,30,14,2,64.234375,2,0,"3",1950,1,"dm",110
"138","2005","07","09","Saturday",0,"SC",18,0,"P",1.11,150,1,7,1,11,0,20.26,1,1,53.1015625,1.07,2.17,"3",0,0,"dm",117
"142","2005","07","09","Saturday",0,"SC",20,1,"R",1.18,718.5,257.15,16.74,1.1,13.61,0.220615609,19.61,10.29,1.12,37.4609375,1.03,1.81,"5",39.4599999999996,0,"dm",119
"145","2005","07","09","Saturday",1,"SD",23,1.34,"R",1.17,955,326.04,15.15,1.1,17.4,0,19.67,10.48,1.89,28.2265625,1.04,2.02333333333333,"5",69.0199999999998,0,"dm",147
"147","2005","07","09","Saturday",300,"SK",21,1.29,"R",1.12,881,199.84,15.29,1.01,15.02,0.008786049,13.15,11.78,2.17,47.2421875,1.05,1.97333333333333,"5",50.2899999999997,0,"dm",128
"148","2005","07","09","Saturday",1,"SO",23,1.29,"R",1.17,875.5,287.23,16.71,1.05,10.35,0.312628728,14.79,9.54,1.83,51.4375,1.02,1.77,"5",53.0799999999998,0,"dm",129
"149","2005","07","09","Saturday",0,"SA",23,4,"P",1.41,950,61,32,4,12,0.105387383,0,13,6,47.828125,1,1,"3",0,2,"dm",140
"150","2005","07","09","Saturday",260,"SO",19,0.98,"R",1,487.7,171.88,5,1.21,13.37,0.046002705,15.9,11.61,0.91,46.8984375,1,2,"5",28.5799999999998,0,"dm",141
"151","2005","07","09","Saturday",0,"SK",25,1.68,"P",1.46,2400.5,986.21,65,1,6,0.061730411,362.66,27,7,91.125,1.25,1.71,"3",0,0,"dm",135
"153","2005","07","09","Saturday",2,"SO",21,2.39,"P",1.22,923.5,239.47,17.56,1.27,19.35,0.187923515,19.7,14.15,3.54,74.875,1,0,"5",440.21,0,"dm",131
"155","2005","07","12","Tuesday",1,"SO",31,1.47,"R",1.2,1024,605.72,40,1,14.58,0.258034437,25.45,6.22,0,38.53125,1.04,1.65,"3",0,0,"dm",143
"157","2005","07","12","Tuesday",0,"SO",20,1,"P",1.06,728.5,193.58,16.47,1.1,13.78,0.118531911,14.24,12.57,1.18,49.265625,1.01,1.37,"5",36.6199999999997,0,"dm",151
"159","2005","07","12","Tuesday",1,"SA",22,4,"P",1.18,400,373,25,1,51,0.027114147,0,18,3.84,38.984375,1,0,"3",725,1,"dm",162
"160","2005","07","12","Tuesday",300,"SO",19,0.89,"P",1.06,665.666666666667,267.94,14,1,34,0.036295542,19,11,0,74.75,1,1,"3",0,0,"dm",180
"166","2005","07","12","Tuesday",2,"SO",19,0.64,"P",1.05,723,203.77,17.15,1.2,15.57,0.106743986,12.6,11.99,0.95,52.3515625,1,0,"5",42.2899999999998,0,"dm",160
"168","2005","07","12","Tuesday",0,"SL",20,3,"P",1.13,2350,247,23,2,2,0,15.095,0,3.48,57.21875,1,1,"3",1920,1,"dm",191
"172","2005","07","12","Tuesday",0,"SF",19,0.87,"R",1.11,693,292.51,18.14,1.13,15.12,0.36960144,14.38,10.7,1.19,54.7421875,1.03,1.58,"5",9.44999999999959,0,"dm",179
"175","2005","07","13","Wednesday",1,"SO",21,1.77,"P",1.16,950,282.92,10,1,10,0.273047115,30,28,3,60.953125,1.07,2,"3",0,0,"dm",188
"186","2005","07","13","Wednesday",0,"SB",30,1.54,"R",1.27,1442,749.34,11,1,19.38,0.134553402,23.74,11.62,2.03,74.3125,1,1,"3",0,0,"dm",166
"190","2005","07","14","Thursday",0,"SH",19,1,"P",1.06,500,144.206666666667,9,3,10,0,30,23,2,57.390625,1,4,"3",0,1,"dm",175
"193","2005","07","14","Thursday",0,"SF",17,0,"P",1.06,382.5,127.6,18.09,1.06,12,0.037961512,25.8435,6,0,64.875,1.04,1.59,"5",11.8199999999995,0,"dm",174
"195","2005","07","14","Thursday",0,"SO",19,1,"P",1.05833333333333,250,79.23,12,1,10,0.027951845,1,22,1,84.625,1,1.43,"3",2,1,"dm",186
"198","2005","07","14","Thursday",1,"SO",19,2,"R",1.16,493,178.87,18.32,1.16,13.96,0.120750077,17.45,12.16,1.47,67.140625,1.03,2.07,"5",22.2099999999997,0,"dm",161
"200","2005","07","14","Thursday",0,"SM",23,5,"R",1.37833333333333,100,334.79,13,2,17.32,0,0,13.13,3,35.234375,1,1.09,"3",684,2,"dm",176
"201","2005","07","14","Thursday",1,"SL",26,2.39,"P",1,3200,1735,6,3,5,0.049869619,0,13.33,9,56.9296875,1,1,"3",960,2,"dm",167
"203","2005","07","14","Thursday",1,"SO",19,0,"P",1,558.75,308.69,5,2,16,0.095434585,89,12,2,75.90625,1.16,1.97,"3",0,0,"dm",157
"204","2005","07","14","Thursday",0,"SF",18,0,"P",1,359,109.81,2,1.28,16.7833333333333,0.068286994,25,10.69,0,24.45703125,1,0,"5",31.2299999999999,0,"dm",158
"206","2005","07","14","Thursday",2,"SA",21,1,"P",1.04,576.5,153.58,44,1,21.7,0.091614693,16.8,14.335,2,37.7890625,1.04,1.97,"3",0,0,"dm",194
"207","2005","07","14","Thursday",0,"SB",18,0.67,"P",1.11,556.5,254.32,53,1,13,0.423238548,33.2575,9,0,31.06640625,1.05,1.7,"3",0,0,"dm",213
"209","2005","07","14","Thursday",400,"FT",44,1.22,"R",1.27,2100,1210,28,1.26,14.57,0.108848334,0,12.19,5,48.375,1.12,1.92,"5",68.5899999999999,0,"dm",208
"218","2005","07","15","Friday",1,"SA",21,1.27,"P",1.07,628.5,207.62,13,1.26,13,0.094981908,1,3,2.27,34.2265625,1.01,1.66,"5",6.00999999999966,0,"dm",210
"221","2005","07","15","Friday",1,"SO",21,1.44,"P",1.08,702,169.16,14.87,1.21,13,0.262221587,9.4,21,2.54,33.2578125,1,0.67,"5",40.1799999999997,0,"dm",219
"225","2005","07","15","Friday",800,"SB",45,1.77,"R",1.47,250,465,18,2,17.21,0.266229864,40,10.33,6,38.671875,1.27,1.69,"5",120.48,0,"dm",212
"226","2005","07","15","Friday",11,"SD",18,1,"P",1.08,571,267.85,15,2,1,0.350622478,12.26,7.68,0.7,55.28125,1,2,"3",0,1,"dm",217
"232","2005","07","15","Friday",0,"SA",19,1,"P",1.13,100,320.68,15,1,3,0,31.22,0,0,80.546875,1.09,1.87,"3",0,0,"dm",200
"236","2005","07","15","Friday",1540,"FT",38,0,"R",1.25,2625,771.17,22.51,1.35,13.57,0.089791245,39.26,10.09,4,51.609375,1.12,1.9,"5",145.21,0,"dm",211
"239","2005","07","15","Friday",0,"SE",18,0,"P",1.09,577.5,338.62,16.81,1.09,15.35,0.386072545,21.86,11.93,0.469999999999999,57.9296875,1.02,1.54,"5",13.0499999999996,0,"dm",197
"240","2005","07","15","Friday",0,"SO",16,0,"P",1.03,343,147.3,16.43,1.09,16,0.056337707,18.52,11,0.219999999999999,27.62109375,1,0.75,"5",1.02999999999956,0,"dm",205
"245","2005","07","16","Saturday",0,"SL",20,1.435,"P",1,500,76.93,3,1,9,0,7.85,12,1.62,67.9375,1.06,2.05,"3",0,0,"dm",202
"246","2005","07","16","Saturday",0,"SO",23,2.37,"R",1.27,900.5,227.31,16.51,1.08,14.37,0.111626403,9.675,13.2,2.73,77.203125,1.05,1.85,"5",193.31,0,"dm",236
"249","2005","07","16","Saturday",0,"SM",20,2,"P",1.14,947.5,208.81,6,1.09,6,0.552401662,0,10,1,55.8203125,1.07,2.04,"5",52.0999999999998,0,"dm",254
"250","2005","07","16","Saturday",1,"SF",20,1,"R",1.27,500,253.39,12,1,19.57,0.201479747,0,13,1.59,67.796875,1,0.95,"3",360,1,"dm",231
"251","2005","07","16","Saturday",480,"SO",23,5,"P",1.33083333333333,200,211.86,14,2,12,0,25,14,5,81,1,1.16,"3",72,2,"dm",235
"254","2005","07","16","Saturday",0,"FT",24,1.83,"R",1.26,1214.5,537.65,17.03,1.1,13.25,0.044896133,12.74,8.38,2.01,17.66015625,1.03,1.96,"5",81.4699999999998,0,"dm",230
"256","2005","07","16","Saturday",0,"SO",23,3,"P",1.33,750,61,11,1,28,0.03507211,17.23,15.72,19,73.5625,1,0,"3",412,1,"dm",247
"257","2005","07","16","Saturday",1,"SM",22,4,"P",1.48,4300,712,7,3,20,0.082439714,0,23,5,58.671875,2,0,"3",2027,3,"dm",245
"258","2005","07","16","Saturday",500,"SO",18,0.97,"P",1.18,700,170.65,7,1,2,0.042954415,6.24833333333333,10.6,0.98,54.234375,1,3,"3",2,1,"dm",244
"263","2005","07","19","Tuesday",800,"SB",19,0.81,"P",1.08,616,258.75,15.36,1.26,8,0.071575919,13.68,19,0,50.1875,1,2,"5",25.3199999999998,0,"dm",240
"264","2005","07","19","Tuesday",1,"SE",24,1.32,"R",1.16,1165,502.53,6,1,18.73,0.104911156,0,10.19,2.09,44.234375,1.07,2.46,"3",0,0,"dm",226
"266","2005","07","19","Tuesday",1,"SO",16,0.64,"P",1.07,449.166666666667,158.18,16.78,1.09,6,0.06401227,19.01,5,0.39,54.15625,1.01,1.5,"5",0.149999999999487,0,"dm",250
"269","2005","07","19","Tuesday",0,"SO",19,0.74,"R",1.07,635.5,222.66,9,1,21.36,0.296027812,12,13.41,0.82,70.59375,1.06,2.49,"3",0,0,"dm",275
"272","2005","07","19","Tuesday",0,"SO",18,0.6,"R",1.05,548.666666666667,184.64,18.44,1.02,15.52,0,19.9933333333333,12.0783333333333,0.149999999999999,54.2120898439,1.04,1.9,"5",7.09999999999949,0,"dm",265
"273","2005","07","19","Tuesday",0,"SB",18,0,"P",1.11,581.666666666667,276.6,28,1,17,0.012416982,28.42,17,0,69.515625,1.02,1.58,"3",0,0,"dm",273
"274","2005","07","19","Tuesday",0,"SO",18,0.51,"P",1.1,703,162.686666666667,10,1,47,0,12.05,24,0,55.3359375,1.04,4,"3",0,0,"dm",277
"276","2005","07","19","Tuesday",1,"SO",20,1.1,"R",1.11,587,233.24,19.48,1.06,12.29,0,19.54,11.08,1.04,46.33362304723,1.02,1.8,"4",28.3999999999996,0,"dm",263
"277","2005","07","19","Tuesday",0,"SO",21,1.54,"R",1.18,817.5,306.64,12,1,5,0.002307939,13.5,0,1.63,21.265625,1.03,2.69,"3",0,0,"dm",274
"278","2005","07","19","Tuesday",0,"SL",25,1.56,"P",1.17,1459,337.6,26,1.23,2,0,15.22,10.11,3.77,45.6484375,1.04333333333333,1.75,"5",111.16,0,"dm",309
"285","2005","07","19","Tuesday",10,"SF",19,0.56,"P",1.14,500,242.79,10,1,38,0.381779423,11.45,13,0,64.03125,1.09,2.38,"3",0,0,"dm",301
"288","2005","07","19","Tuesday",0,"SC",21,3,"P",1.12,300,220.215,15,2,11,0.035077765,16.11,2,2,91.84375,1,1.06,"3",0,1,"dm",311
"289","2005","07","19","Tuesday",1,"SB",23,1,"R",1.36,2100,663.21,23,1.26,15.32,0.598415086,40.1,8,2.08,13.0625,1.06,1.84,"5",78.3399999999999,0,"dm",294
"291","2005","07","19","Tuesday",1,"SO",21,1.63,"P",1.09,671.5,240.1,19,1,8,0.05221588,13.21,5,2,64.203125,1,0,"5",25.9999999999999,0,"dm",298
"294","2005","07","19","Tuesday",1,"SM",44,6,"P",1.24,4700,311,75,1.61,31.68,0,44.85,13.6,0,56.40625,1.12,2.15,"5",740.51,0,"dm",289
"303","2005","07","20","Wednesday",0,"SA",21,2,"P",1.2,150,264.69,15,1.24,31,0,0,13,2,84.90625,1,1,"5",184.89,0,"dm",308
"305","2005","07","20","Wednesday",0,"SO",19,0,"P",1.03,358.666666666667,267.09,18,1,26,0.063488544,22.83,12,0.83,78.40625,1,1,"3",0,0,"dm",283
"306","2005","07","20","Wednesday",400,"SB",20,1.26,"P",1.13,523,220.27,6,1.14,20.47,0.095566617,0,13.29,1.42,61.421875,1.05,2.17,"5",40.0699999999997,0,"dm",315
"307","2005","07","20","Wednesday",0,"SN",18,0.42,"P",1.04,476.666666666667,198.87,16.6075,1.15,12,0,17.81,14,1,67.28125,1.03,1.75,"5",15.9499999999998,0,"dm",304
"309","2005","07","20","Wednesday",1,"SO",18,0,"P",1,1050,1085,5,1,37,0.073128835,50,18,1,65.671875,1,2,"3",0,0,"dm",291
"315","2005","07","21","Thursday",0,"SL",24,3,"P",1.31,950,647.67,12,2,19.81,0,25,11.96,3.84,64.0335546875,1,1.11,"3",0,1,"dm",307
"321","2005","07","21","Thursday",0,"SB",28,2,"P",2,1800,1768,2,3,1,0.30291325,0,9.46,4.56,87.953125,1,1,"2",0,1,"dm",286
"324","2005","07","21","Thursday",0,"SO",19,1,"P",1.13,584.5,265.82,18,1,13,0,12.28,14,0,24.58203125,1.05,1.73,"3",0,0,"dm",295
"327","2005","07","21","Thursday",100,"SO",21,4,"R",1.19,839,474.84,19.21,1.05,13,0,20.82,2,3,70.203125,1.08,1.97,"5",77.4499999999999,0,"dm",343
"329","2005","07","21","Thursday",0,"SL",21,3,"P",2,200,1016.28,6,4,7,0.449629705,63.48,6,3,57.9375,3,0,"3",298,3,"dm",345
"330","2005","07","21","Thursday",0,"SO",21,2.04,"P",1.23,1315,462.06,17.87,1.09,28,0.047600431,17.8,26,4,48.5625,1.09,2.09,"5",29.8499999999999,0,"dm",341
"331","2005","07","21","Thursday",0,"SC",27,0,"R",1.36,1355.5,776.68,19.3675,1.21,12.48,0.334754881,27.57,8.17,3.3,38.5078125,1.1,1.55,"5",46.5299999999999,0,"dm",350
"333","2005","07","21","Thursday",1,"SA",29,6,"H",1.48,8550,3844,8,2.15,24.32,0.03426387,47.99,11.55,3,26.66015625,1.16,1.75,"5",809.25,0,"dm",333
"343","2005","07","22","Friday",100,"SO",22,4,"R",1.26,350,32,27,1.21,15.64,0.455958159,31.82,11.64,2.98,56.2109375,1.25,1.81,"5",179.32,0,"dm",349
"347","2005","07","22","Friday",0,"SF",18,1,"P",1.17,771.5,283.21,11,1,19,0.055946274,0,25,1,78.453125,1,1,"3",0,0,"dm",322
"350","2005","07","22","Friday",0,"SC",21,0,"P",1.18,868.5,238.71,18,1.18,6,0.349069199,21.91,5,3,76.015625,1.03,1.87,"5",43.5399999999998,0,"dm",344
"352","2005","07","22","Friday",0,"SO",27,1.14,"R",1.22,1226,386.91,16.45,1.13,14.5,0,20.66,9.73,1.74,30.65625,1.09,1.77,"5",11.0899999999998,0,"dm",352
"356","2005","07","22","Friday",40,"SO",19,0,"P",1,1700,0,5,1,11,0,68.09,16,2.76,88.125,2,1,"3",0,0,"dm",321
"357","2005","07","22","Friday",400,"SO",19,0.92,"P",1.27,770,253.55,7,1,2,0,0,2,0,62.8203125,1.11,2.29,"3",0,0,"dm",329
"358","2005","07","22","Friday",1,"SO",23,1.32,"R",1.1,803.5,269.22,9,1,13.78,0,7.44,8.21,1.86,44.93625,1.08,2.32,"3",0,0,"dm",339
"360","2005","07","22","Friday",0,"SB",22,1.47,"R",1.22,683.75,216.57,13.18,1.03,20.89,0,15.62,12.23,1.7,33.3671875,1.06,2.22,"5",32.0599999999997,0,"dm",327
"362","2005","07","22","Friday",0,"SO",18,0,"P",1.29,519.166666666667,361.57,16.73,1.49,5,0.379516728,33.4,0,0,52.390625,1,1,"5",45.6499999999999,0,"dm",382
"363","2005","07","22","Friday",0,"SO",21,1.41,"P",1.16,799.5,229.49,14.69,1.07,12.91,0,14.34,1,2.01,50.4765625,1.04,2.14,"5",1.53999999999966,0,"dm",374
"364","2005","07","22","Friday",0,"SA",18,0,"P",1,50,221.09,1,1,5,0.024630367,35.62,0,0,50.59375,1,1,"3",0,0,"dm",383
"365","2005","07","22","Friday",0,"SL",19,1,"P",1.24,2300,155,11,2,26,0,14.595,16,0,80.53125,1,0,"3",827,2,"dm",376
"366","2005","07","23","Saturday",0,"SO",17,0.49,"P",1.02,300.666666666667,103.41,14.35,1.1225,12,0,19.696,3,0.239999999999999,47.0923828125,1,0.831428571428571,"5",19.6599999999998,0,"dm",378
"368","2005","07","23","Saturday",1,"SO",23,0,"P",1.18,965,150.65,20,1,10,0.041529477,0,11,4,52.640625,1.02,1.89,"3",0,0,"dm",361
"371","2005","07","23","Saturday",1,"SO",20,3,"P",1.25,717.5,197.61,8,2,22,0.054254269,0,18,0,38.1171875,1,1,"3",328,2,"dm",377
"373","2005","07","23","Saturday",0,"SO",24,1,"P",1.29,776,319.53,14.41,1.26,11.73,0.1935411,10.43,10.951,1,51.2265625,1,0,"5",95.2499999999999,0,"dm",368
"374","2005","07","23","Saturday",0,"SO",17,0.57,"P",1.04,296.166666666667,110.13,13.32,1.1425,14.4156666666667,0,20.72,8.58,0,30.05078125,1.02,1.76,"5",19.4299999999998,0,"dm",380
"379","2005","07","23","Saturday",0,"SO",25,1.33,"R",1.27,769.5,302.79,15,1.18,12.29,0.014282011,15.225,12.21,2.49,32.4609375,1.05,2.04,"5",18.9499999999998,0,"dm",364
"380","2005","07","23","Saturday",0,"SO",32,1.1,"P",1.36,1077.5,343.92,19.45,1.11,12.945,0,16.39,10.07,3.51,47.0569179688,1.02,1.82,"4",30.0299999999999,0,"dm",365
"384","2005","07","23","Saturday",1,"SL",24,2,"P",1.16,350,33,15,1.34,18,0.087125612,0,26,6,63.3828125,1.03,1.96,"5",31.7899999999999,0,"dm",381
"385","2005","07","23","Saturday",500,"SB",25,1.38,"R",2,1076,372.38,4,1,14.6,0.464734115,0,9.67333333333333,1.71,37.8203125,1,1,"3",0,0,"dm",404
"388","2005","07","23","Saturday",340,"SO",18,0.72,"P",1.06,672.5,89.6666666666667,8,1.12,26,0,8.1,11,1,72.1875,1.02,3,"5",14.7299999999995,0,"dm",408
"389","2005","07","26","Tuesday",1,"SB",24,1,"R",3,200,0,2,2,25.34,0.562444467,0,12.29,1,33.3671875,2,0,"3",0,1,"dm",411
"395","2005","07","26","Tuesday",0,"SH",21,4,"P",1.45,2850,978.98,30,1,5,0.021952547,109.14,21,2,78.828125,1,0,"3",3631,1,"dm",412
"397","2005","07","26","Tuesday",0,"SL",22,0,"P",1.16,2100,434,10,2,14,0.12445262,0,22,5,47.0078125,1,4,"3",0,1,"dm",403
"399","2005","07","26","Tuesday",0,"SB",22,3,"P",1.16,350,342,16,1,24,0.09408399,25.6275,17,3,75.3125,1.02,1.66,"3",0,0,"dm",422
"400","2005","07","26","Tuesday",500,"SO",18,0.78,"P",1.115,420,198.44,20.73,1.12,16,0.1690302,18.0775,16,0,40.4296875,1.03,1.62,"5",24.4299999999996,0,"dm",402
"405","2005","07","26","Tuesday",0,"SD",19,0.645,"P",1,100,231.3,1,1.1,26.59,0.036237436,29.57,11.62,1,22.56640625,1.11,2.02,"5",24.6179999999996,0,"dm",420
"417","2005","07","27","Wednesday",0,"SA",17,0,"P",1.23,1879,1034.93,31.09,1.19,9,0.027166239,79.16,12.86,9,56.125,1.02,1.83,"5",75.1999999999998,0,"dm",406
"420","2005","07","27","Wednesday",0,"SC",18,0.56,"P",1,150,31,2,1.215,22.49,0,14.92,13.53,0,72.203125,1,2,"5",34.5799999999998,0,"dm",430
"421","2005","07","27","Wednesday",1,"SO",23,1.68,"R",1,1150,233.02,2,1,17.33,0.456198497,19.5,12.41,2.03,60.609375,1,0,"3",0,0,"dm",389
"427","2005","07","27","Wednesday",0,"SM",23,5,"H",1.19,1614.5,600.56,21.36,1.24,14.22,0,28.56,9.94,3.22,48.95539062506,1.07,1.77,"5",374.69,0,"dm",429
"428","2005","07","27","Wednesday",1,"SO",19,0.81,"R",1.27,585,669.65,24.5275,1.11,19.08,0.229404042,85.62,10.68,0.77,97.984375,1.06,1.65,"5",17.6399999999996,0,"dm",418
"433","2005","07","27","Wednesday",800,"SN",18,0.81,"P",1.16,637.5,337.36,17.84,1.17,14,0,25.9,7,0,34.8046875,1.04,1.71,"5",24.2199999999996,0,"dm",427
"434","2005","07","27","Wednesday",0,"SM",18,0,"P",1.14,788,346.18,23,2,37,0,10.61,14,0,56.1640625,1,0,"3",0,1,"dm",419
