"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","na_prop","app_id","id","GOOD"
"23","2005","07","02","Saturday",1,"SO",19,2,"P",1,200,154.02,2,1,5,0.086232583,38.825,2,1,53.9921875,1.03,2.34,"3",0,0,0.166666666666667,-35,"dm.minus","2"
"24","2005","07","02","Saturday",1,"SO",21,0.87,"R",1.11,891.5,643.36,21.46,1.12,9.92,0,36.15,6.88,1.49,40.21875,1,1.76,"5",16.2399999999996,0,0.466666666666667,38,"dm.plus","1"
"25","2005","07","02","Saturday",700,"SN",21,0.84,"R",1,500,526,4,1.35,24.14,0.031742534,74.46,12.515,0,70.828125,1.21,2.25,"5",60.7999999999998,0,0.266666666666667,26,"dm.plus","0"
"26","2005","07","02","Saturday",500,"SL",25,1.01,"R",1.09,986.5,889.95,23.7,1.53,13.13,0.084350414,71.83,5.34,2.01,40.1796875,1.08,2.51,"5",111.51,0,0.466666666666667,-36,"dm.minus","2"
"27","2005","07","02","Saturday",0,"SD",20,1,"P",1.33,708.5,420.98,22,1,3,0.325250065,196.23,5.34,1.74,31.40625,2,0,"3",0,0,0.2,34,"dm.plus","0"
"28","2005","07","02","Saturday",0,"SO",19,1,"P",1,963,346.725,6,3,12.69,0.031082119,0,0,3,66.28125,2,1,"3",0,2,0.133333333333333,-27,"dm.minus","2"
"29","2005","07","02","Saturday",0,"SO",22,3,"P",1.22,950,375.85,10,2,16,0.144333573,0,16,4,50.1796875,1,0,"3",2119,2,0.0666666666666667,37,"dm.plus","1"
"30","2005","07","02","Saturday",380,"SD",16,0.74,"P",1.32,946.5,636.52,20.53,1.41,9.77,0.856112704,185.78,6.95,0.85,43.3046875,1.21,1.63,"5",74.0599999999998,0,0.466666666666667,-28,"dm.minus","2"
"31","2005","07","02","Saturday",0,"SE",30,0,"P",1.42,1303,588.55,13,3,21,1.03741033,108.02,12,3.28,56.625,1,1,"3",0,0,0.2,-42,"dm.minus","2"
"32","2005","07","02","Saturday",0,"SC",21,1,"P",1.14,1307,442.24,11,1.52,17,0.244124008,297,4,5,55.71875,1.15,4,"5",67.6699999999998,0,0.2,31,"dm.plus","0"
"33","2005","07","05","Tuesday",0,"SA",19,0,"P",1.14,1450,31,9,1.44,7,0,25,5,1,86.515625,1,2,"5",272.08,0,0.133333333333333,-60,"dm.minus","2"
"34","2005","07","05","Tuesday",0,"SA",20,2,"R",1.03,508.5,428.28,65,1,4,0.063900195,54.5385714285714,7.37,1.75,52.6953125,1.04,1.85,"3",0,0,0.3,-79,"dm.minus","2"
"35","2005","07","05","Tuesday",260,"SO",19,0.68,"P",1.09,593,443,21.17,1.19,8,0,23.12,10,1.02,44.4453125,1.02,2.14,"5",70.3399999999997,0,0.4,-83,"dm.minus","2"
"36","2005","07","05","Tuesday",0,"SA",24,0,"R",1.32,832.5,562.73,22,2,11.5,0.094695772,68.8,6.58,1,45.8359375,1,0.87,"2",0,1,0.266666666666667,-81,"dm.minus","2"
"37","2005","07","05","Tuesday",1000,"SE",22,1.16,"R",1.09,1123,677.67,20.38,1.38,9.32,0,33.85,6.83,1.62,39.2881640627,1.06,1.85,"4",20.0399999999997,0,0.466666666666667,65,"dm.plus","1"
"38","2005","07","05","Tuesday",1,"SF",22,0,"P",1.04,990,411.27,17,1.44,10,0.174824473,45,3,4,67.03125,1.05,2.26,"5",49.1799999999997,0,0.233333333333333,86,"dm.plus","1"
"39","2005","07","05","Tuesday",1,"SD",19,0,"P",1.08,1062.5,583.69,19.74,1.33,4,0,33.48,9.05,1.85,75.859375,1.06,2.29,"5",65.9399999999996,0,0.4,-63,"dm.minus","2"
"40","2005","07","05","Tuesday",0,"SO",20,0,"P",1.21,551,287.47,19,1,14,0.057799896,110,6,1,47.03125,1,1,"3",0,0,0.133333333333333,-57,"dm.minus","2"
"41","2005","07","05","Tuesday",0,"SM",19,0,"P",1.09,300,273.35,15,1.4,27,0.04827386,40.395,12,3,77.671875,1.02,1.95,"5",73.23,0,0.266666666666667,-88,"dm.minus","2"
"42","2005","07","05","Tuesday",0,"SA",19,1,"P",1.02,393,199.57,13,1,12,0.02842301,40,3,2,58.296875,1.02,1.93,"3",0,0,0.166666666666667,80,"dm.plus","1"
"43","2005","07","05","Tuesday",1,"SF",20,1,"P",1.08,550,0,6,2,27,0.113545652,0,15,1,71.828125,1,1.45,"3",63,2,0.133333333333333,-55,"dm.minus","2"
"44","2005","07","05","Tuesday",0,"FT",22,0.97,"R",1.05,1070.5,663.9,21.57,1.27,8.73,0.079172628,43.48,7.58,1.93,44.7887695313,1.09,2.12,"5",49.4699999999997,0,0.5,53,"dm.plus","0"
"45","2005","07","05","Tuesday",600,"SC",22,1.01,"P",1.28,986.5,788.91,21.08,1.52,11.41,0.045381153,57.56,8.62,2.48,23.234375,1,0,"5",172.94,0,0.4,-47,"dm.minus","2"
"46","2005","07","05","Tuesday",0,"SM",38,4,"H",1.17,950,951.46,18,1,10.51,0,0,7.03,0,56.78426757813,1.06,1.43,"3",0,0,0.266666666666667,-90,"dm.minus","2"
"47","2005","07","05","Tuesday",0,"SL",19,1,"P",1,200,0,1,1,7,0.126737971,32.97,11,0,68.09375,1.06,2.16,"3",0,0,0.1,85,"dm.plus","0"
"48","2005","07","05","Tuesday",0,"SO",22,1,"P",1.19,150,0,14,1,30,0,61,10.646,3.13,48.7265625,1,1.15,"3",513,1,0.166666666666667,-89,"dm.minus","2"
"49","2005","07","05","Tuesday",1,"SO",18,0.45,"P",1.13,604.5,471.89,21.05,1.18,23,0.167880833,22.13,11,0,58.375,1.02,1.95,"5",32.9599999999996,0,0.333333333333333,62,"dm.plus","1"
"50","2005","07","05","Tuesday",0,"SO",20,0,"P",1.15,565,280.6,13,1,53,0,34,12,3,76.234375,1,0,"3",0,0,0.133333333333333,-51,"dm.minus","2"
"51","2005","07","05","Tuesday",140,"FT",17,0.99,"P",1.15,1075.5,1017.67,19.94,1.28,19.93,0,29.55,10.16,1.16,67.78125,1,1,"5",325.13,0,0.366666666666667,67,"dm.plus","1"
"52","2005","07","05","Tuesday",1,"SC",23,6,"R",1.28,1900,0,30,1,21.81,0.077688828,28.31,12.3171428571429,0,68.328125,1,0,"3",0,0,0.133333333333333,45,"dm.plus","1"
"53","2005","07","05","Tuesday",800,"SO",23,0,"P",6,1500,1547.57,5,13,76,0,338.34,17,5.09,70.03125,5,0,"3",1454,8,0.133333333333333,-82,"dm.minus","2"
"54","2005","07","05","Tuesday",0,"SO",23,4,"R",1.1,821,372.01,8,1.27,14.57,0,0,9.43,2,59.84375,1.06,3,"5",128.43,0,0.266666666666667,64,"dm.plus","1"
"55","2005","07","05","Tuesday",1,"SB",20,2,"P",1.29,777,715.05,36,1,19.35,0.160126752,53.62,11.38,2.25,75.828125,2,0,"3",0,0,0.266666666666667,-56,"dm.minus","2"
"56","2005","07","05","Tuesday",1,"SL",17,0.81,"R",1.08,923,542.47,20.81,1.17,9.81,0,28.5,8.57,0.73,30.25390625,1.06,2.23,"5",51.6299999999997,0,0.433333333333333,74,"dm.plus","1"
"57","2005","07","05","Tuesday",800,"SH",20,1.11,"P",1.17,50,316.03,15,1,11,0,1,11,1.97,47.0078125,1,0,"3",42,1,0.166666666666667,-44,"dm.minus","2"
"58","2005","07","05","Tuesday",0,"SG",20,2,"P",1,750,62,6,1,63,0.006573045,21.34,11,2.09,63.9296875,1,2,"3",354,1,0.0666666666666667,61,"dm.plus","1"
"59","2005","07","05","Tuesday",0,"SO",30,0.97,"P",1.15,950,682,14,1,37,0.052771707,37.9,24,11,78.921875,1.07,1.7,"3",0,0,0.166666666666667,70,"dm.plus","0"
"60","2005","07","06","Wednesday",1,"SL",22,0,"P",1.25,1500,0,19,1,93,0.1978847,28.96,19,6,49.640625,1.13,2.34,"3",0,0,0.133333333333333,106,"dm.plus","1"
"61","2005","07","06","Wednesday",0,"SD",21,0,"R",1.22,893.5,560.92,11,1.7,12.52,0.071086343,635,6.76,1.89,29.73828125,1,2,"5",77,0,0.266666666666667,94,"dm.plus","0"
"62","2005","07","06","Wednesday",1,"SD",29,1,"H",1.29,100,882.46,83,2,15.5216666666667,0.367760315,142.22,8.65,0,63.859375,1.13,1.95,"3",0,0,0.233333333333333,111,"dm.plus","0"
"63","2005","07","06","Wednesday",0,"SO",19,0.95,"P",1.08,741,565.54,21.44,1.23,4,0.124969634,45.2266666666667,9,2,72.109375,1.03,2.61,"5",33.5299999999996,0,0.366666666666667,-104,"dm.minus","2"
"64","2005","07","06","Wednesday",0,"SO",18,0.5,"P",1.09,787,494.29,26.48,1.22,8,0,30.79,12,0,64.421875,1.04,2.26,"5",142.02,0,0.333333333333333,114,"dm.plus","1"
"65","2005","07","06","Wednesday",500,"SO",21,0.88,"R",1.08,863.5,949.75,24.2,1.17,9.84,0.012171984,45.37,5.8,1.44,52.2890625,1.09,2.58,"5",45.0199999999997,0,0.466666666666667,-118,"dm.minus","2"
"66","2005","07","06","Wednesday",120,"SB",19,0.67,"P",1.24,554.5,427.46,9,2,57,0,83.54,13,1.04,34.359375,1,1.28,"1",0,1,0.266666666666667,-120,"dm.minus","2"
"67","2005","07","06","Wednesday",0,"SA",23,0,"R",1.04,909,881.7,25.18,1.24,9.21,0.103787895,70.57,6.11,1.89,53.7265625,1.06,2.4,"5",14.4799999999996,0,0.4,115,"dm.plus","0"
"68","2005","07","06","Wednesday",0,"SA",21,4,"P",1.17,950,1116,11,2,44,0.03876598,39.11,13,3.6,47.0859375,2,1,"3",1320,1,0.1,116,"dm.plus","0"
"69","2005","07","06","Wednesday",0,"SC",18,0,"P",1.17,100,134.11,9,1,28,0.298273993,0,16,0,48.890625,1,3,"3",6,1,0.1,-99,"dm.minus","2"
"70","2005","07","06","Wednesday",0,"SE",18,0.52,"P",1.15,913.5,687.54,29.09,1.24,10,0,98,18,0,86.953125,1.08,2.16,"5",65.0799999999997,0,0.366666666666667,-95,"dm.minus","2"
"71","2005","07","06","Wednesday",400,"SB",18,0.78,"P",1,504.5,179.03,1,1.28,5,0.095065985,0,4,0.39,35.953125,1,1,"5",17.1699999999999,0,0.233333333333333,-108,"dm.minus","2"
"72","2005","07","06","Wednesday",0,"SO",23,2,"P",1.13,523,360.86,26,1,6,0.075540484,42.48,1,2,66.71875,1,1,"3",0,0,0.166666666666667,-101,"dm.minus","2"
"73","2005","07","06","Wednesday",960,"SM",46,1.37,"R",1,950,805,3,3,2,0,68.97,6.1,0,43.2265625,2,1,"3",0,0,0.133333333333333,96,"dm.plus","1"
"74","2005","07","06","Wednesday",1,"SL",22,4,"R",1.14,350,0,16,1.27,22.6,0.087539523,27.2,15.31,2,48.28125,1.03,2.38,"5",178.27,0,0.266666666666667,92,"dm.plus","1"
"75","2005","07","06","Wednesday",0,"SB",19,1,"R",1.09,776.5,784.32,19.21,1.17,14.27,0.254084923,61.44,6.77,1.29,71.3125,1.03,2.57,"5",46.9099999999996,0,0.4,91,"dm.plus","0"
"76","2005","07","06","Wednesday",0,"SE",22,5,"P",2,3900,0,3,1,1,0.056773714,0,12,1,62.484375,3,1,"3",0,0,0.0333333333333333,-102,"dm.minus","2"
"77","2005","07","06","Wednesday",0,"SO",18,0.51,"P",1.15,558,486.42,29.91,1.13,4,0.027053592,39.17,26,0.299999999999999,50.9765625,1.07,2.34,"5",30.7999999999996,0,0.366666666666667,110,"dm.plus","1"
"78","2005","07","06","Wednesday",0,"SA",20,0,"R",2,1035.5,677.73,3,3,9.56666666666667,0.615962487,237,6.45,1.38,45.1015625,3,0,"3",363,3,0.2,-93,"dm.minus","2"
"79","2005","07","06","Wednesday",0,"SO",16,0,"R",1.11,838,870.98,23.11,1.34,10.19,0.274550767,58.14,6.27,0.499999999999999,60.7109375,1.04,2.23,"5",36.2599999999996,0,0.433333333333333,-113,"dm.minus","2"
"80","2005","07","06","Wednesday",0,"SO",28,1,"R",1.19,920,989.6,22.39,1.5,12.16,0.338373236,68.67,6.21,1.83,65.84375,1,1,"5",106.54,0,0.333333333333333,117,"dm.plus","0"
"81","2005","07","06","Wednesday",1,"SL",19,1,"P",1.19,500,0,10,2,22,0.099442833,44,9,0,68.78125,2,0,"3",1150,2,0.0333333333333333,119,"dm.plus","1"
"82","2005","07","07","Thursday",0,"SA",20,0.95,"R",1.05,909.5,802.66,17.58,1.08,14.64,0,47.16,7.565,1.34,67.53125,1.04,2.58,"5",39.7399999999996,0,0.466666666666667,-144,"dm.minus","2"
"83","2005","07","07","Thursday",0,"SO",20,1,"P",1.31,534,423.59,15.7,1.24,15,0,59.66,2,1.4,9.8125,1,1,"5",66.57,0,0.266666666666667,147,"dm.plus","1"
"84","2005","07","07","Thursday",1,"SN",34,0,"R",1.28,4150,1277.49,13,1,11.24,0.142291978,107.83,7.35,7,21.40234375,1.11,2.6,"3",0,0,0.266666666666667,-154,"dm.minus","2"
"85","2005","07","07","Thursday",500,"SO",18,0.68,"P",1,286,200.67,5,1.2,13,0.10262367,40,10.41,0.6,26.87109375,1,2,"5",39.4399999999999,0,0.266666666666667,-138,"dm.minus","2"
"86","2005","07","07","Thursday",0,"FT",22,1.07,"R",1.09,1141.5,749.61,20.67,1.25,9.37,0.096788399,33.16,8.65,1.89,50.9767578125,1.06,2.46,"5",38.9999999999997,0,0.5,128,"dm.plus","1"
"87","2005","07","07","Thursday",0,"SO",19,1,"P",1.56,5288.5,3721.77,27.51,2.32,4,0,199.604,16,26,17.1328125,1.72,1.94,"5",411.17,0,0.3,129,"dm.plus","0"
"88","2005","07","07","Thursday",1,"SC",19,1,"P",1.14,2882,2035.02,21.57,1.45,10,0.378087482,67.02,10.67,10,28.35546875,1.14,4,"5",174.17,0,0.3,140,"dm.plus","0"
"89","2005","07","07","Thursday",0,"SB",22,3,"P",1,3450,1213.93,2,2,11,0.111979454,25,1,2,53.484375,1,1,"3",3809,2,0.0333333333333333,141,"dm.plus","0"
"90","2005","07","07","Thursday",560,"FT",18,0.76,"P",1.2,1116,734.19,19.2,1.22,2,0.003489353,55.61,8.07,0,53.578125,1.12,2.17,"5",29.2099999999997,0,0.4,-153,"dm.minus","2"
"91","2005","07","07","Thursday",0,"SA",17,0,"P",1.1,717.5,546.81,19.43,1.19,37,0.033888234,45.604,12,0,73.25,1.01,2.11,"5",1.10999999999957,0,0.333333333333333,-156,"dm.minus","2"
"92","2005","07","07","Thursday",0,"SG",32,0,"R",1.3,965,670.09,25,1,10.03,0.08639102,165,6.5,1.89,48.390625,1,1,"3",0,0,0.266666666666667,-155,"dm.minus","2"
"93","2005","07","07","Thursday",1,"SH",21,4,"P",1.67,2400,343,16,2,3,0,97,2,1,71.40625,1,0,"3",2388,2,0.0666666666666667,-123,"dm.minus","2"
"94","2005","07","07","Thursday",0,"SA",23,4,"R",1.05,1099,854.65,21.3,1.17,10.48,0.106779598,38.71,7.715,1.55,54.7578125,1.01,2.1,"5",254.5,0,0.433333333333333,-150,"dm.minus","2"
"95","2005","07","07","Thursday",1,"SL",25,2,"R",1.1,876.5,850.72,17.13,1.21,10.99,0,52.97,5.31,1.11,43.21875,1.03,2.56,"5",97.4499999999998,0,0.433333333333333,-139,"dm.minus","2"
"96","2005","07","07","Thursday",0,"SN",31,1,"R",1.93,200,709.7,12,3,19,0.687744049,185.55,11.87,3.1,20.9296875,3,1,"1",0,1,0.2,-133,"dm.minus","2"
"97","2005","07","07","Thursday",1,"SO",29,1.09,"R",1.11,1039.5,798.15,17.68,1.16,10.35,0.209901922,33.29,7.37,1.4,60.078125,1.05,2.64,"5",32.7699999999997,0,0.433333333333333,135,"dm.plus","1"
"98","2005","07","07","Thursday",820,"SO",32,0.995,"R",1.13,1700,124,7,1,15.32,0.181158869,0,10.75,2.77,48.752109375,1.11,3,"3",0,0,0.266666666666667,-124,"dm.minus","2"
"99","2005","07","07","Thursday",0,"SF",21,1,"P",2,1420.5,488.61,5,2,24,0.263958697,0,19,3,43.3046875,3,0,"3",604,2,0.1,-142,"dm.minus","2"
"100","2005","07","07","Thursday",1,"SD",18,0.7,"P",1.1,853,514.19,20.1,1.21,53,0.024618474,36.31,15,2,55.578125,1.01,2.18,"5",20.9699999999996,0,0.333333333333333,131,"dm.plus","1"
"101","2005","07","07","Thursday",1,"SB",21,0,"P",1,500,496,1,1.51,7,0,50,15,5,63.2265625,2,0,"5",200.56,0,0.1,-145,"dm.minus","2"
"102","2005","07","07","Thursday",0,"SO",23,1,"P",1.12,754,586.22,15.2,1.37,13,0.032595161,51.86,7.96,2.12,40.953125,1.02,2.74,"5",18.8199999999996,0,0.366666666666667,143,"dm.plus","0"
"103","2005","07","07","Thursday",1,"SC",17,0,"P",1.1,2746,1438.46,24.6,1.39,21.67,0,38.95,14.13,11,60.0546875,1.03,2.71,"5",32.7599999999998,0,0.4,-130,"dm.minus","2"
"104","2005","07","07","Thursday",0,"SA",19,0,"P",1.14,150,212.16,9,2,23,0.098250776,27.55,7,3,83.9375,1,1,"3",0,1,0.1,151,"dm.plus","1"
"105","2005","07","07","Thursday",0,"SA",18,0,"P",1,750.5,404.585,2,3,59,0.063940404,34.13,12,0,48.0234375,1,1.37,"3",0,2,0.166666666666667,-148,"dm.minus","2"
"106","2005","07","08","Friday",1,"SB",20,1.18,"P",1.07,2051.5,1285.54,25.95,1.29,7,0.065083901,48.18,15,15,64.1875,1.02,2.55,"5",160.14,0,0.333333333333333,162,"dm.plus","1"
"107","2005","07","08","Friday",0,"SM",31,2,"H",1.23,1450,402,10,1.46,1,0,0,9.17,4.19,83.265625,1,1,"5",653.32,0,0.2,-164,"dm.minus","2"
"108","2005","07","08","Friday",1,"SK",18,0.27,"P",1.03,548.5,344.86,33,1,8,0,50.43,27,0,46.3359375,1.03,2.45,"3",0,0,0.266666666666667,-178,"dm.minus","2"
"109","2005","07","08","Friday",0,"SM",40,1,"H",1.27,39100,3596,10,1,13.14,0.034630702,0,6.61,7,48.53125,1,4,"3",1246,1,0.133333333333333,-193,"dm.minus","2"
"110","2005","07","08","Friday",1,"SO",18,0,"P",1.15,904.5,618.79,25.85,1.29,23.73,0,46.57,13.41,0,82.015625,1,0,"5",132.05,0,0.333333333333333,-165,"dm.minus","2"
"111","2005","07","08","Friday",0,"SC",36,1,"H",1.15,4700,124,17,1.35,24.32,0.027851643,27.74,13.23,1,80.25,1.06,2.13,"5",518.19,0,0.266666666666667,180,"dm.plus","1"
"112","2005","07","08","Friday",0,"SC",20,2,"P",1.09,1171,567.19,25.53,1.24,3,0,25.91,26,2,70.1875,1.03,2.63,"5",75.5799999999997,0,0.333333333333333,-195,"dm.minus","2"
"113","2005","07","08","Friday",200,"SB",18,0.5,"P",1.17,440,385.75,23.13,1.175,7,0.044353992,42.9,22,0,31.1640625,1,0,"5",41.86,0,0.3,-168,"dm.minus","2"
"114","2005","07","08","Friday",0,"SA",30,0,"R",1.02,1852.5,1523.37,25.57,1.61,6.24,0,31.98,6.81,4.66,45.052890625,1.06,2.38,"5",137.32,0,0.433333333333333,160,"dm.plus","0"
"115","2005","07","08","Friday",2,"SC",20,1,"P",1,750,0,2,1,13,0.203831313,271,1,0,72.171875,1,0,"3",0,0,0,191,"dm.plus","0"
"116","2005","07","08","Friday",1,"SK",18,0,"P",1.03,517.5,274.15,33,1,10,0,41.27,27,0,46.4296875,1.03,2.44,"3",0,0,0.2,179,"dm.plus","1"
"117","2005","07","08","Friday",0,"SO",23,0,"P",1.06,987,837.56,21.85,1.4,7,0,33.03,0,2.58,68.234375,1.08,2.49,"5",28.5199999999997,0,0.366666666666667,-192,"dm.minus","2"
"118","2005","07","08","Friday",0,"SO",18,0.56,"P",1,100,124,4,1,13.0833333333333,0.092462448,35.49,9.19666666666667,0.47,27.51953125,1,1,"3",0,0,0.166666666666667,188,"dm.plus","1"
"119","2005","07","08","Friday",0,"SA",25,0,"R",1.05,1696.5,1449.13,10,2.59,10.08,0.638838325,78.69,7.16,7,31.83203125,1.17,2.61,"5",162.85,0,0.366666666666667,-163,"dm.minus","2"
"120","2005","07","08","Friday",1,"SM",21,3,"H",1,2928,1092.95,3,1,21,0.245395851,161,9,3.75,59.578125,1,2,"5",759.51,0,0.133333333333333,166,"dm.plus","0"
"121","2005","07","08","Friday",0,"SO",20,2,"P",1,599.5,206.68,5,1,9,0.000528448,1,0,0,55.4453125,1.06,2.54,"3",0,0,0.133333333333333,175,"dm.plus","1"
"122","2005","07","08","Friday",0,"SO",17,0,"P",1.03,807,637.91,21.59,1.16,2,0.238042976,28.14,4,0.339999999999999,56.40625,1.06,2.37,"5",16.7099999999996,0,0.333333333333333,174,"dm.plus","1"
"123","2005","07","08","Friday",0,"SD",28,0,"R",1.12,500,496,26,4,16.81,0.043389877,75,11.46,11,50.015625,1.07,2.49,"3",0,0,0.2,-190,"dm.minus","2"
"124","2005","07","08","Friday",160,"SB",18,0.43,"P",1.11,1119.5,567.57,23.97,1.15,32,0,22.55,21,0,76.9375,1.05,2.37,"5",20.3499999999996,0,0.333333333333333,186,"dm.plus","1"
"125","2005","07","08","Friday",0,"SA",30,0,"R",1.02,1852.5,1523.37,25.57,1.61,6.24,0,31.98,6.81,4.66,45.052890625,1.06,2.38,"5",137.32,0,0.433333333333333,161,"dm.plus","0"
"126","2005","07","08","Friday",100,"SN",26,0,"P",1.07,500,665.53,22,1,5,0.089765755,0,10,6,50.25,1.1,3,"3",0,0,0.133333333333333,176,"dm.plus","1"
"127","2005","07","08","Friday",0,"SL",22,5,"P",1,700,1,1,1,33,0.128964513,1,23,4.38,61.296875,2,1,"3",275,1,0.0333333333333333,167,"dm.plus","1"
"128","2005","07","08","Friday",0,"SO",17,0,"P",1.15,791.5,654.89,26.37,1.17,46,0.033422705,37.95,24,0,51.125,1.08,2.46,"5",14.3099999999996,0,0.333333333333333,-171,"dm.minus","2"
"129","2005","07","08","Friday",0,"SA",20,1,"R",1.03,910.5,737.19,23,1,10.35,0.21843369,42.63,8.7,1.62,45.859375,1.03,2.44,"3",0,0,0.333333333333333,-183,"dm.minus","2"
"130","2005","07","08","Friday",0,"SO",24,1,"P",1.05,1128.5,679.21,22.07,1.38,10.03,0,14.76,9.9,2.64,44.265625,1.05,2.58,"5",27.3799999999997,0,0.4,157,"dm.plus","1"
"131","2005","07","08","Friday",0,"SO",18,0.48,"P",1.01,304,230.23,39,1,24,0.053124871,31.74,19,0.239999999999999,74.8125,1.02,2.14,"3",0,0,0.266666666666667,158,"dm.plus","1"
"132","2005","07","08","Friday",0,"SO",20,0,"P",1.03,545,212.43,13,2,24,0.134957249,0,12,2,68.65625,1,1.31,"3",0,1,0.166666666666667,-169,"dm.minus","2"
"133","2005","07","08","Friday",0,"SC",18,0,"P",1.03,612.5,185.31,7,1,76,0.106758389,15.2,23,0.82,67.328125,1.02,2.85,"5",6.27999999999949,0,0.266666666666667,194,"dm.plus","1"
"134","2005","07","09","Saturday",660,"SA",25,0.96,"P",1.09,1288.5,959.39,18,1.47,3,0.014480763,21.06,10.83,4.39,77.171875,1.04,2.69,"5",54.2599999999998,0,0.4,-198,"dm.minus","2"
