"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","na_prop","GOOD","id","app_id"
"29","2005","07","02","Saturday",0,"SO",22,3,"P",1.22,950,375.85,10,2,16,0.144333573,0,16,4,50.1796875,1,0,"3",2119,2,0.0666666666666667,"1","dm.plus",37
"32","2005","07","02","Saturday",0,"SC",21,1,"P",1.14,1307,442.24,11,1.52,17,0.244124008,297,4,5,55.71875,1.15,4,"5",67.6699999999998,0,0.2,"0","dm.plus",31
"37","2005","07","05","Tuesday",1000,"SE",22,1.16,"R",1.09,1123,677.67,20.38,1.38,9.32,0,33.85,6.83,1.62,39.2881640627,1.06,1.85,"4",20.0399999999997,0,0.466666666666667,"1","dm.plus",65
"38","2005","07","05","Tuesday",1,"SF",22,0,"P",1.04,990,411.27,17,1.44,10,0.174824473,45,3,4,67.03125,1.05,2.26,"5",49.1799999999997,0,0.233333333333333,"1","dm.plus",86
"42","2005","07","05","Tuesday",0,"SA",19,1,"P",1.02,393,199.57,13,1,12,0.02842301,40,3,2,58.296875,1.02,1.93,"3",0,0,0.166666666666667,"1","dm.plus",80
"44","2005","07","05","Tuesday",0,"FT",22,0.97,"R",1.05,1070.5,663.9,21.57,1.27,8.73,0.079172628,43.48,7.58,1.93,44.7887695313,1.09,2.12,"5",49.4699999999997,0,0.5,"0","dm.plus",53
"47","2005","07","05","Tuesday",0,"SL",19,1,"P",1,200,0,1,1,7,0.126737971,32.97,11,0,68.09375,1.06,2.16,"3",0,0,0.1,"0","dm.plus",85
"49","2005","07","05","Tuesday",1,"SO",18,0.45,"P",1.13,604.5,471.89,21.05,1.18,23,0.167880833,22.13,11,0,58.375,1.02,1.95,"5",32.9599999999996,0,0.333333333333333,"1","dm.plus",62
"51","2005","07","05","Tuesday",140,"FT",17,0.99,"P",1.15,1075.5,1017.67,19.94,1.28,19.93,0,29.55,10.16,1.16,67.78125,1,1,"5",325.13,0,0.366666666666667,"1","dm.plus",67
"52","2005","07","05","Tuesday",1,"SC",23,6,"R",1.28,1900,0,30,1,21.81,0.077688828,28.31,12.3171428571429,0,68.328125,1,0,"3",0,0,0.133333333333333,"1","dm.plus",45
"54","2005","07","05","Tuesday",0,"SO",23,4,"R",1.1,821,372.01,8,1.27,14.57,0,0,9.43,2,59.84375,1.06,3,"5",128.43,0,0.266666666666667,"1","dm.plus",64
"56","2005","07","05","Tuesday",1,"SL",17,0.81,"R",1.08,923,542.47,20.81,1.17,9.81,0,28.5,8.57,0.73,30.25390625,1.06,2.23,"5",51.6299999999997,0,0.433333333333333,"1","dm.plus",74
"58","2005","07","05","Tuesday",0,"SG",20,2,"P",1,750,62,6,1,63,0.006573045,21.34,11,2.09,63.9296875,1,2,"3",354,1,0.0666666666666667,"1","dm.plus",61
"59","2005","07","05","Tuesday",0,"SO",30,0.97,"P",1.15,950,682,14,1,37,0.052771707,37.9,24,11,78.921875,1.07,1.7,"3",0,0,0.166666666666667,"0","dm.plus",70
"60","2005","07","06","Wednesday",1,"SL",22,0,"P",1.25,1500,0,19,1,93,0.1978847,28.96,19,6,49.640625,1.13,2.34,"3",0,0,0.133333333333333,"1","dm.plus",106
"61","2005","07","06","Wednesday",0,"SD",21,0,"R",1.22,893.5,560.92,11,1.7,12.52,0.071086343,635,6.76,1.89,29.73828125,1,2,"5",77,0,0.266666666666667,"0","dm.plus",94
"62","2005","07","06","Wednesday",1,"SD",29,1,"H",1.29,100,882.46,83,2,15.5216666666667,0.367760315,142.22,8.65,0,63.859375,1.13,1.95,"3",0,0,0.233333333333333,"0","dm.plus",111
"64","2005","07","06","Wednesday",0,"SO",18,0.5,"P",1.09,787,494.29,26.48,1.22,8,0,30.79,12,0,64.421875,1.04,2.26,"5",142.02,0,0.333333333333333,"1","dm.plus",114
"67","2005","07","06","Wednesday",0,"SA",23,0,"R",1.04,909,881.7,25.18,1.24,9.21,0.103787895,70.57,6.11,1.89,53.7265625,1.06,2.4,"5",14.4799999999996,0,0.4,"0","dm.plus",115
"68","2005","07","06","Wednesday",0,"SA",21,4,"P",1.17,950,1116,11,2,44,0.03876598,39.11,13,3.6,47.0859375,2,1,"3",1320,1,0.1,"0","dm.plus",116
"73","2005","07","06","Wednesday",960,"SM",46,1.37,"R",1,950,805,3,3,2,0,68.97,6.1,0,43.2265625,2,1,"3",0,0,0.133333333333333,"1","dm.plus",96
"74","2005","07","06","Wednesday",1,"SL",22,4,"R",1.14,350,0,16,1.27,22.6,0.087539523,27.2,15.31,2,48.28125,1.03,2.38,"5",178.27,0,0.266666666666667,"1","dm.plus",92
"75","2005","07","06","Wednesday",0,"SB",19,1,"R",1.09,776.5,784.32,19.21,1.17,14.27,0.254084923,61.44,6.77,1.29,71.3125,1.03,2.57,"5",46.9099999999996,0,0.4,"0","dm.plus",91
"77","2005","07","06","Wednesday",0,"SO",18,0.51,"P",1.15,558,486.42,29.91,1.13,4,0.027053592,39.17,26,0.299999999999999,50.9765625,1.07,2.34,"5",30.7999999999996,0,0.366666666666667,"1","dm.plus",110
"80","2005","07","06","Wednesday",0,"SO",28,1,"R",1.19,920,989.6,22.39,1.5,12.16,0.338373236,68.67,6.21,1.83,65.84375,1,1,"5",106.54,0,0.333333333333333,"0","dm.plus",117
"81","2005","07","06","Wednesday",1,"SL",19,1,"P",1.19,500,0,10,2,22,0.099442833,44,9,0,68.78125,2,0,"3",1150,2,0.0333333333333333,"1","dm.plus",119
"83","2005","07","07","Thursday",0,"SO",20,1,"P",1.31,534,423.59,15.7,1.24,15,0,59.66,2,1.4,9.8125,1,1,"5",66.57,0,0.266666666666667,"1","dm.plus",147
"86","2005","07","07","Thursday",0,"FT",22,1.07,"R",1.09,1141.5,749.61,20.67,1.25,9.37,0.096788399,33.16,8.65,1.89,50.9767578125,1.06,2.46,"5",38.9999999999997,0,0.5,"1","dm.plus",128
"87","2005","07","07","Thursday",0,"SO",19,1,"P",1.56,5288.5,3721.77,27.51,2.32,4,0,199.604,16,26,17.1328125,1.72,1.94,"5",411.17,0,0.3,"0","dm.plus",129
"88","2005","07","07","Thursday",1,"SC",19,1,"P",1.14,2882,2035.02,21.57,1.45,10,0.378087482,67.02,10.67,10,28.35546875,1.14,4,"5",174.17,0,0.3,"0","dm.plus",140
"89","2005","07","07","Thursday",0,"SB",22,3,"P",1,3450,1213.93,2,2,11,0.111979454,25,1,2,53.484375,1,1,"3",3809,2,0.0333333333333333,"0","dm.plus",141
"97","2005","07","07","Thursday",1,"SO",29,1.09,"R",1.11,1039.5,798.15,17.68,1.16,10.35,0.209901922,33.29,7.37,1.4,60.078125,1.05,2.64,"5",32.7699999999997,0,0.433333333333333,"1","dm.plus",135
"100","2005","07","07","Thursday",1,"SD",18,0.7,"P",1.1,853,514.19,20.1,1.21,53,0.024618474,36.31,15,2,55.578125,1.01,2.18,"5",20.9699999999996,0,0.333333333333333,"1","dm.plus",131
"102","2005","07","07","Thursday",0,"SO",23,1,"P",1.12,754,586.22,15.2,1.37,13,0.032595161,51.86,7.96,2.12,40.953125,1.02,2.74,"5",18.8199999999996,0,0.366666666666667,"0","dm.plus",143
"104","2005","07","07","Thursday",0,"SA",19,0,"P",1.14,150,212.16,9,2,23,0.098250776,27.55,7,3,83.9375,1,1,"3",0,1,0.1,"1","dm.plus",151
"106","2005","07","08","Friday",1,"SB",20,1.18,"P",1.07,2051.5,1285.54,25.95,1.29,7,0.065083901,48.18,15,15,64.1875,1.02,2.55,"5",160.14,0,0.333333333333333,"1","dm.plus",162
"111","2005","07","08","Friday",0,"SC",36,1,"H",1.15,4700,124,17,1.35,24.32,0.027851643,27.74,13.23,1,80.25,1.06,2.13,"5",518.19,0,0.266666666666667,"1","dm.plus",180
"114","2005","07","08","Friday",0,"SA",30,0,"R",1.02,1852.5,1523.37,25.57,1.61,6.24,0,31.98,6.81,4.66,45.052890625,1.06,2.38,"5",137.32,0,0.433333333333333,"0","dm.plus",160
"115","2005","07","08","Friday",2,"SC",20,1,"P",1,750,0,2,1,13,0.203831313,271,1,0,72.171875,1,0,"3",0,0,0,"0","dm.plus",191
"116","2005","07","08","Friday",1,"SK",18,0,"P",1.03,517.5,274.15,33,1,10,0,41.27,27,0,46.4296875,1.03,2.44,"3",0,0,0.2,"1","dm.plus",179
"118","2005","07","08","Friday",0,"SO",18,0.56,"P",1,100,124,4,1,13.0833333333333,0.092462448,35.49,9.19666666666667,0.47,27.51953125,1,1,"3",0,0,0.166666666666667,"1","dm.plus",188
"120","2005","07","08","Friday",1,"SM",21,3,"H",1,2928,1092.95,3,1,21,0.245395851,161,9,3.75,59.578125,1,2,"5",759.51,0,0.133333333333333,"0","dm.plus",166
"121","2005","07","08","Friday",0,"SO",20,2,"P",1,599.5,206.68,5,1,9,0.000528448,1,0,0,55.4453125,1.06,2.54,"3",0,0,0.133333333333333,"1","dm.plus",175
"122","2005","07","08","Friday",0,"SO",17,0,"P",1.03,807,637.91,21.59,1.16,2,0.238042976,28.14,4,0.339999999999999,56.40625,1.06,2.37,"5",16.7099999999996,0,0.333333333333333,"1","dm.plus",174
"124","2005","07","08","Friday",160,"SB",18,0.43,"P",1.11,1119.5,567.57,23.97,1.15,32,0,22.55,21,0,76.9375,1.05,2.37,"5",20.3499999999996,0,0.333333333333333,"1","dm.plus",186
"125","2005","07","08","Friday",0,"SA",30,0,"R",1.02,1852.5,1523.37,25.57,1.61,6.24,0,31.98,6.81,4.66,45.052890625,1.06,2.38,"5",137.32,0,0.433333333333333,"0","dm.plus",161
"126","2005","07","08","Friday",100,"SN",26,0,"P",1.07,500,665.53,22,1,5,0.089765755,0,10,6,50.25,1.1,3,"3",0,0,0.133333333333333,"1","dm.plus",176
"127","2005","07","08","Friday",0,"SL",22,5,"P",1,700,1,1,1,33,0.128964513,1,23,4.38,61.296875,2,1,"3",275,1,0.0333333333333333,"1","dm.plus",167
"130","2005","07","08","Friday",0,"SO",24,1,"P",1.05,1128.5,679.21,22.07,1.38,10.03,0,14.76,9.9,2.64,44.265625,1.05,2.58,"5",27.3799999999997,0,0.4,"1","dm.plus",157
"131","2005","07","08","Friday",0,"SO",18,0.48,"P",1.01,304,230.23,39,1,24,0.053124871,31.74,19,0.239999999999999,74.8125,1.02,2.14,"3",0,0,0.266666666666667,"1","dm.plus",158
"133","2005","07","08","Friday",0,"SC",18,0,"P",1.03,612.5,185.31,7,1,76,0.106758389,15.2,23,0.82,67.328125,1.02,2.85,"5",6.27999999999949,0,0.266666666666667,"1","dm.plus",194
"135","2005","07","09","Saturday",0,"SC",20,2,"P",1,6000,1046.62,6,2,29,0.12147477,30,14,2,64.234375,2,0,"3",1950,1,0.0333333333333333,"1","dm.plus",213
"138","2005","07","09","Saturday",0,"SC",18,0,"P",1.02,150,1,7,1,11,0,23.84,1,1,53.1015625,1.03,2.37,"3",0,0,0.133333333333333,"1","dm.plus",208
"142","2005","07","09","Saturday",0,"SC",20,1,"R",1.09,920,639.95,18.76,1.22,8.09,0.220615609,51.69,8.26,1.38,37.4609375,1.04,2.47,"5",32.2099999999996,0,0.4,"1","dm.plus",210
"145","2005","07","09","Saturday",1,"SD",23,1.01,"R",1.08,1104,764.83,19.2,1.35,9.69,0,49.16,5.03,1.64,28.2265625,1.07,2.65,"5",35.1099999999996,0,0.466666666666667,"1","dm.plus",219
"147","2005","07","09","Saturday",300,"SK",21,0.89,"R",1.1,1140,685.78,20.43,1.19,10.79,0.008786049,32.98,8.97,1.9,47.2421875,1.02,2.5,"5",49.7899999999997,0,0.433333333333333,"1","dm.plus",212
"148","2005","07","09","Saturday",1,"SO",23,1.2,"R",1.12,1058.5,756.72,20.49,1.13,8.76,0.312628728,30.81,6.57,1.44,51.4375,1.07,2.57,"5",33.0699999999997,0,0.433333333333333,"1","dm.plus",217
"149","2005","07","09","Saturday",0,"SA",23,4,"P",1.32,950,61,32,4,12,0.105387383,0,13,6,47.828125,1,1,"3",0,2,0.0333333333333333,"1","dm.plus",200
"150","2005","07","09","Saturday",260,"SO",19,0.98,"R",1,319.5,227.41,5,1.19,12.01,0.046002705,57.42,8.81,1.03,46.8984375,1,2,"5",52.78,0,0.3,"1","dm.plus",211
"151","2005","07","09","Saturday",0,"SK",25,1.17,"P",1.14,1730.5,629.53,65,1,6,0.061730411,32.67,27,7,91.125,1.06,2.39,"3",0,0,0.233333333333333,"1","dm.plus",197
"152","2005","07","09","Saturday",0,"SD",19,1,"R",2,770,513.3,4,1,12.94,0.356764555,230,6.66,0,40.765625,2,1,"3",11,1,0.133333333333333,"0","dm.plus",205
"153","2005","07","09","Saturday",2,"SO",21,1.59,"R",1.29,1004.5,738.17,17.45,1.3,12.27,0.187923515,33.19,6.88,1.63,74.875,1,0,"5",152,0,0.4,"1","dm.plus",202
"155","2005","07","12","Tuesday",1,"SO",31,1.27,"R",1.21,1250,676.82,40,1,9.62,0.258034437,33.65,7.74,0,38.53125,1.08,1.81,"3",0,0,0.3,"1","dm.plus",236
"157","2005","07","12","Tuesday",0,"SO",20,1,"P",1.13,1086.5,581.28,22.85,1.16,13.34,0.118531911,16.88,11.97,1.27,49.265625,1.02,2.02,"5",39.0999999999996,0,0.4,"1","dm.plus",254
"159","2005","07","12","Tuesday",1,"SA",22,4,"P",1.17,400,373,25,1,51,0.027114147,0,18,4,38.984375,1,0,"3",725,1,0.0666666666666667,"1","dm.plus",231
"160","2005","07","12","Tuesday",300,"SO",19,0.82,"P",1.07,580.5,171.23,14,1,34,0.036295542,19,11,0,74.75,1,1,"3",0,0,0.133333333333333,"1","dm.plus",235
"166","2005","07","12","Tuesday",2,"SO",19,0.87,"P",1.17,1088.5,602.73,20.22,1.26,12.34,0.106743986,19.04,10.97,1.14,52.3515625,1,0,"5",141.55,0,0.366666666666667,"1","dm.plus",230
"167","2005","07","12","Tuesday",0,"SM",22,1,"P",1.44,2179.5,1126.38,26.52,1.56,16.19,0,64.07,1,5,93,1,1,"5",442.07,0,0.266666666666667,"0","dm.plus",247
"168","2005","07","12","Tuesday",0,"SL",20,3,"P",1.2,2350,247,23,2,2,0,29.09,0,3.16,57.21875,1,1,"3",1920,1,0.1,"1","dm.plus",245
"169","2005","07","12","Tuesday",1000,"SL",26,0,"P",1.33,350,310,10,3,24,0.025813608,0,23,8,29.3515625,1,1,"3",0,0,0.0333333333333333,"0","dm.plus",244
"170","2005","07","12","Tuesday",1,"SD",23,1,"R",1.09,933,810.59,23.55,1.28,12.46,0.007063317,43.89,7.58,1.43,60.515625,1.03,2.14,"5",73.2699999999998,0,0.4,"0","dm.plus",240
"171","2005","07","12","Tuesday",0,"FT",26,0,"P",1.11,1199.5,737.15,23.54,1.34,12.79,0,31.39,9.83,2.25,54.7368554688,1.04,1.77,"4",75.4399999999998,0,0.433333333333333,"0","dm.plus",226
"172","2005","07","12","Tuesday",0,"SF",19,0.683333333333333,"R",1.11,1192,706.2,19.68,1.19,11.07,0.36960144,23.11,9.52,1.61,54.7421875,1.05,1.99,"5",28.1599999999997,0,0.433333333333333,"1","dm.plus",250
"174","2005","07","13","Wednesday",1,"SO",20,1.08,"P",1.24,892,747.58,19.91,1.18,10.39,0.217602424,31.48,9.66,0,43.1328125,1,1,"5",269.11,0,0.333333333333333,"0","dm.plus",275
"175","2005","07","13","Wednesday",1,"SO",21,1.11,"P",1.13,950,525.97,10,1,10,0.273047115,30,28,3,60.953125,1.06,2.52,"3",0,0,0.166666666666667,"1","dm.plus",265
"177","2005","07","13","Wednesday",0,"SO",18,1,"R",1.18,934.5,649.22,21.23,1.08,10.07,0,33.3,8.23,0.66,44.1706445313,1.07,2.42,"4",40.0399999999996,0,0.433333333333333,"0","dm.plus",273
"180","2005","07","13","Wednesday",600,"SB",20,1.02,"R",1.18,1031,760.84,19.76,1.16,14.09,0.191610963,38.97,7.69,1.37,71.09375,1.07,2.5,"5",64.4299999999998,0,0.433333333333333,"0","dm.plus",277
"182","2005","07","13","Wednesday",0,"SB",19,1,"P",1.07,554,274.94,11,1.19,4,0.186843214,40,4,3,30.79296875,1.04,2.89,"5",15.4399999999996,0,0.233333333333333,"0","dm.plus",263
"186","2005","07","13","Wednesday",0,"SB",30,1.04,"R",1.32,1128,727.66,11,1,18.49,0.134553402,33.67,9.74,1.96,74.3125,1,1,"3",0,0,0.266666666666667,"1","dm.plus",274
"189","2005","07","14","Thursday",0,"SO",30,0,"R",1.13,1418.5,1000.32,24.52,1.61,6.37,0.339156392,47.63,5.92,3.23,38.8125,1.09,2.68,"5",53.2699999999998,0,0.4,"0","dm.plus",309
"190","2005","07","14","Thursday",0,"SH",19,1,"P",1.09,500,245.77,9,3,10,0,30,23,2,57.390625,1,4,"3",0,1,0.0666666666666667,"1","dm.plus",301
"193","2005","07","14","Thursday",0,"SF",17,0,"P",1.07,366.5,214.74,20.26,1.2,12,0.037961512,34.87,6,0,64.875,1.01,2.09,"5",39.9899999999999,0,0.3,"1","dm.plus",311
"195","2005","07","14","Thursday",0,"SO",19,1,"P",1.1,250,96.1,12,1,10,0.027951845,1,22,1,84.625,1,1.71,"3",2,1,0.1,"1","dm.plus",294
"196","2005","07","14","Thursday",500,"SB",21,0.96,"R",1,523.5,391.33,3,1,17.3,0.630513039,61.96,9.145,1.33,71.734375,1.24,2.28,"3",0,0,0.3,"0","dm.plus",298
"198","2005","07","14","Thursday",1,"SO",19,2,"R",1.11,1056,576.35,21.81,1.2,12.03,0.120750077,19.68,7.9,1.45,67.140625,1.05,2.67,"5",41.3399999999998,0,0.4,"1","dm.plus",289
"200","2005","07","14","Thursday",0,"SM",23,5,"R",1.18,100,337.36,13,2,14.68,0,0,9.72,3,35.234375,1,1.7,"3",684,2,0.166666666666667,"1","dm.plus",308
"201","2005","07","14","Thursday",1,"SL",26,2.41,"P",1,3200,1735,6,3,5,0.049869619,0,10.75,9,56.9296875,1,1,"3",960,2,0.0666666666666667,"1","dm.plus",283
"203","2005","07","14","Thursday",1,"SO",19,0,"P",1,607,249.88,5,2,16,0.095434585,89,12,2,75.90625,1.14,2.59,"3",0,0,0.133333333333333,"1","dm.plus",315
"204","2005","07","14","Thursday",0,"SF",18,0,"P",1,463.5,166.29,2,1.35,16.51,0.068286994,25,11.12,0,24.45703125,1,0,"5",34.7199999999999,0,0.2,"1","dm.plus",304
"205","2005","07","14","Thursday",0,"SA",20,2,"R",1.06,1096.5,774.71,24.28,1.22,13.22,0.063838421,55.78,8.15,1.49,79.234375,1.04,2.57,"5",180.41,0,0.4,"0","dm.plus",291
"206","2005","07","14","Thursday",2,"SA",21,1,"P",1.05,615.5,224.11,44,1,17.86,0.091614693,15.39,15.29,2,37.7890625,1.03,2.3,"3",0,0,0.266666666666667,"1","dm.plus",307
"207","2005","07","14","Thursday",0,"SB",18,0.6,"P",1.05,366.5,323.59,53,1,13,0.423238548,48.11,9,0,31.06640625,1.06,2.55,"3",0,0,0.233333333333333,"1","dm.plus",286
"209","2005","07","14","Thursday",400,"FT",44,1.16,"R",1.09,2100,1210,28,1.53,8.88,0.108848334,0,9.15,5.19,48.375,1.07,2.5,"5",22.7299999999998,0,0.3,"1","dm.plus",295
"212","2005","07","15","Friday",0,"SC",18,0,"P",1.19,678.5,481.51,19.078,1.21,9,0,44.2,10.21,0.5,34.203125,1.04,2.32,"5",26.6099999999996,0,0.366666666666667,"0","dm.plus",343
"218","2005","07","15","Friday",1,"SA",21,1.1,"P",1.05,520,318.1,13,1.3,13,0.094981908,1,3,2.08,34.2265625,1.06,2.79,"5",29.1899999999997,0,0.3,"1","dm.plus",345
"221","2005","07","15","Friday",1,"SO",21,1.2,"P",1.12,1009,542.97,20.63,1.36,13,0.262221587,18.57,21,2.46,33.2578125,1.11,2.61,"5",28.8799999999997,0,0.366666666666667,"1","dm.plus",341
"225","2005","07","15","Friday",800,"SB",45,1.1,"R",1.25,250,465,18,2,9.66,0.266229864,40,7.37,6,38.671875,1.17,2.35,"5",61.0499999999999,0,0.233333333333333,"1","dm.plus",350
"226","2005","07","15","Friday",11,"SD",18,1,"P",1.14,580.75,293.26,15,2,1,0.350622478,32.52,7.37,0.98,55.28125,1,2,"3",0,1,0.2,"1","dm.plus",333
"232","2005","07","15","Friday",0,"SA",19,1,"P",1,100,168.78,15,1,3,0,25.6533333333333,0,0,80.546875,1.04,2.69,"3",0,0,0.166666666666667,"1","dm.plus",349
"233","2005","07","15","Friday",0,"SB",18,1,"P",1.16,340,234.36,17.07,1.24,5,0,37.94,4,0.46,47.6750000002,1,0,"5",32.63,0,0.3,"0","dm.plus",322
"234","2005","07","15","Friday",0,"SO",20,1,"P",1,405.5,225.88,5,1,6,0.047101932,0,1,1.55,57.4609375,1.13,2.64,"3",0,0,0.166666666666667,"0","dm.plus",344
"235","2005","07","15","Friday",320,"SN",20,1,"P",1,1100,406.49,5,2,12,0.06029933,0,6,3,78.640625,2,2,"3",0,1,0.0333333333333333,"0","dm.plus",352
"236","2005","07","15","Friday",1540,"FT",38,0,"R",1.97,2552.5,1385.29,22.7,2.18,9.23,0.089791245,288.92,5.96,4.18,51.609375,1.66,1.7,"5",120.78,0,0.4,"1","dm.plus",321
"237","2005","07","15","Friday",0,"SO",18,0.6,"P",1.09,577,483.29,28,1,12.33,0.076987326,38.46,10.16,0.75,31.10546875,1.04,2.44,"3",0,0,0.333333333333333,"0","dm.plus",329
"239","2005","07","15","Friday",0,"SE",18,0,"P",1.13,1071,608.03,19.22,1.25,11.62,0.386072545,25.44,10.71,0.9,57.9296875,1.05,2.36,"5",25.0099999999996,0,0.4,"1","dm.plus",339
"240","2005","07","15","Friday",0,"SO",16,0,"P",1.16,693,567.65,24.078,1.15,16,0.056337707,56.93,11,0.339999999999999,27.62109375,1.04,2.37,"5",25.4999999999996,0,0.333333333333333,"1","dm.plus",327
"245","2005","07","16","Saturday",0,"SL",20,1.29,"P",1,500,194.595,3,1,9,0,21.03,12,1.62,67.9375,1.09,2.23,"3",0,0,0.2,"1","dm.plus",382
"246","2005","07","16","Saturday",0,"SO",23,1.45,"R",1.07,1349.5,784.55,22.21,1.31,11.69,0.111626403,25.72,7.85,2.23,77.203125,1.03,2.64,"5",163.36,0,0.433333333333333,"1","dm.plus",374
"247","2005","07","16","Saturday",0,"SO",21,2,"P",1.15,1260,638.7,19,2,1,0,33.6,4,2.91,43.1171875,1,3,"3",1107,1,0.166666666666667,"0","dm.plus",383
"249","2005","07","16","Saturday",0,"SM",20,2,"P",1.15,848,390.15,6,1.25,6,0.552401662,0,10,1,55.8203125,1.11,2.47,"5",127,0,0.266666666666667,"1","dm.plus",376
"250","2005","07","16","Saturday",1,"SF",20,1,"R",1.12,500,275.77,12,1,17.72,0.201479747,0,11.16,1.55,67.796875,1,1.76,"3",360,1,0.2,"1","dm.plus",378
"251","2005","07","16","Saturday",480,"SO",23,5,"P",1.18,200,283.77,14,2,12,0,25,14,5,81,1,1.55,"3",72,2,0.1,"1","dm.plus",361
"252","2005","07","16","Saturday",1,"SL",21,0,"P",1.09,761,392.27,19,1.33,2,0,27.636,22,1,39.203125,1.02,2.24,"5",49.5599999999997,0,0.266666666666667,"0","dm.plus",377
"253","2005","07","16","Saturday",1,"SA",23,1.05,"R",1.09,1099.5,834.56,23.94,1.14,9.12,0,35.704,9.31,1.86,45.2388671875,1.02,2.68,"4",27.4199999999996,0,0.466666666666667,"0","dm.plus",368
"254","2005","07","16","Saturday",0,"FT",24,1.45,"R",1.17,1698,1344.1,24.15,1.6,11.02,0.044896133,62.29,6.4,3.15,17.66015625,1.07,2.77,"5",110.42,0,0.433333333333333,"1","dm.plus",380
"256","2005","07","16","Saturday",0,"SO",23,3,"P",1.3,750,61,11,1,28,0.03507211,19.31,15.08,19,73.5625,1,0,"3",412,1,0.1,"1","dm.plus",364
