"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","id","app_id","GOOD"
"116","2005","07","08","Friday",1,"SK",18,0,"P",1,3000,0,33,1,10,0,25,27,0,46.4296875,1,0,"3",0,0,"1",179,"1"
"118","2005","07","08","Friday",0,"SO",18,1,"P",1,100,124,4,1,3,0.092462448,0,23,2,27.51953125,1,1,"3",0,0,"1",188,"1"
"121","2005","07","08","Friday",0,"SO",20,2,"P",1,150,0,5,1,9,0.000528448,1,0,0,55.4453125,1,1,"3",0,0,"1",175,"1"
"122","2005","07","08","Friday",0,"SO",17,0,"P",1,500,1,15,1,2,0.238042976,35,4,0,56.40625,1,0,"5",642,0,"1",174,"1"
"124","2005","07","08","Friday",160,"SB",18,1,"P",1,3150,1768,4,1,32,0,24,21,0,76.9375,1,0,"5",0,0,"1",186,"1"
"126","2005","07","08","Friday",100,"SN",26,0,"P",1,500,61,22,1,5,0.089765755,0,10,6,50.25,1,3,"3",0,0,"1",176,"1"
"127","2005","07","08","Friday",0,"SL",22,5,"P",1,700,1,1,1,33,0.128964513,1,23,6,61.296875,2,1,"3",275,1,"1",167,"1"
"130","2005","07","08","Friday",0,"SO",24,1,"P",1,1050,403,1,1,31,0,0,6,5,44.265625,2,0,"5",2189,0,"1",157,"1"
"131","2005","07","08","Friday",0,"SO",18,1,"P",1,2650,0,39,1,24,0.053124871,1,19,2,74.8125,2,0,"3",0,0,"1",158,"1"
"133","2005","07","08","Friday",0,"SC",18,0,"P",1,500,123,7,1,76,0.106758389,1,23,0,67.328125,2,1,"5",0,0,"1",194,"1"
"135","2005","07","09","Saturday",0,"SC",20,2,"P",1,6000,62,6,2,29,0.12147477,30,14,2,64.234375,2,0,"3",1950,1,"1",213,"1"
"138","2005","07","09","Saturday",0,"SC",18,0,"P",2,150,1,7,1,11,0,66,1,1,53.1015625,1,2,"3",0,0,"1",208,"1"
"142","2005","07","09","Saturday",0,"SC",20,1,"R",3,5350,0,3,1,3,0.220615609,31,5,0,37.4609375,4,0,"5",328,0,"1",210,"1"
"145","2005","07","09","Saturday",1,"SD",23,1,"P",1,950,0,12,1,5,0,31,2,0,28.2265625,1,1,"5",684,0,"1",219,"1"
"147","2005","07","09","Saturday",300,"SK",21,1,"R",2,250,0,2,1,1,0.008786049,0,5,0,47.2421875,1,4,"5",1246,0,"1",212,"1"
"148","2005","07","09","Saturday",1,"SO",23,3,"R",1,2650,0,3,2,2,0.312628728,25,5,0,51.4375,1,1,"5",262,0,"1",217,"1"
"149","2005","07","09","Saturday",0,"SA",23,4,"P",1,950,61,32,4,12,0.105387383,0,13,6,47.828125,1,1,"3",0,2,"1",200,"1"
"150","2005","07","09","Saturday",260,"SO",19,1,"R",1,200,0,5,2,1,0.046002705,65,0,0,46.8984375,1,2,"5",1547,0,"1",211,"1"
"151","2005","07","09","Saturday",0,"SK",25,1,"P",1,4450,33,65,1,6,0.061730411,40,27,7,91.125,1,0,"3",0,0,"1",197,"1"
"153","2005","07","09","Saturday",2,"SO",21,6,"R",1,400,29,24,1,6,0.187923515,0,16,0,74.875,1,0,"5",2580,0,"1",202,"1"
"155","2005","07","12","Tuesday",1,"SO",31,2,"R",1,1050,309,40,1,4,0.258034437,1,0,0,38.53125,1,0,"3",0,0,"1",236,"1"
"157","2005","07","12","Tuesday",0,"SO",20,1,"P",1,650,436,5,2,38,0.118531911,0,10,0,49.265625,1,2,"5",0,0,"1",254,"1"
"159","2005","07","12","Tuesday",1,"SA",22,4,"P",1,400,373,25,1,51,0.027114147,0,18,2,38.984375,1,0,"3",725,1,"1",231,"1"
"160","2005","07","12","Tuesday",300,"SO",19,1,"P",1,750,0,14,1,34,0.036295542,19,11,0,74.75,1,1,"3",0,0,"1",235,"1"
"166","2005","07","12","Tuesday",2,"SO",19,1,"P",1,150,31,17,2,14,0.106743986,1,23,0,52.3515625,1,0,"5",0,0,"1",230,"1"
"168","2005","07","12","Tuesday",0,"SL",20,3,"P",1,2350,247,23,2,2,0,14,0,0,57.21875,1,1,"3",1920,1,"1",245,"1"
"172","2005","07","12","Tuesday",0,"SF",19,3,"R",1,350,5704,9,3,16,0.36960144,54,4,0,54.7421875,1,0,"5",1434,0,"1",250,"1"
"175","2005","07","13","Wednesday",1,"SO",21,2,"P",1,950,0,10,1,10,0.273047115,30,28,3,60.953125,1,0,"3",0,0,"1",265,"1"
"186","2005","07","13","Wednesday",0,"SB",30,4,"R",1,3200,1241,11,1,12,0.134553402,0,0,4,74.3125,1,1,"3",0,0,"1",274,"1"
"190","2005","07","14","Thursday",0,"SH",19,1,"P",1,500,807,9,3,10,0,30,23,2,57.390625,1,4,"3",0,1,"1",301,"1"
"193","2005","07","14","Thursday",0,"SF",17,0,"P",1,1250,1,5,1,12,0.037961512,41,6,0,64.875,1,0,"5",769,0,"1",311,"1"
"195","2005","07","14","Thursday",0,"SO",19,1,"P",1,250,1,12,1,10,0.027951845,1,22,1,84.625,1,3,"3",2,1,"1",294,"1"
"198","2005","07","14","Thursday",1,"SO",19,2,"R",1,1750,1,6,1,3,0.120750077,47,6,0,67.140625,1,3,"5",275,0,"1",289,"1"
"200","2005","07","14","Thursday",0,"SM",23,5,"R",1,100,0,13,2,3,0,0,23,3,35.234375,1,3,"3",684,2,"1",308,"1"
"201","2005","07","14","Thursday",1,"SL",26,1,"P",1,3200,1735,6,3,5,0.049869619,0,12,9,56.9296875,1,1,"3",960,2,"1",283,"1"
"203","2005","07","14","Thursday",1,"SO",19,0,"P",1,1100,712,5,2,16,0.095434585,89,12,2,75.90625,1,3,"3",0,0,"1",315,"1"
"204","2005","07","14","Thursday",0,"SF",18,0,"P",1,350,3566,2,1,6,0.068286994,25,0,0,24.45703125,1,0,"5",82,0,"1",304,"1"
"206","2005","07","14","Thursday",2,"SA",21,1,"P",1,500,186,44,1,10,0.091614693,0,22,2,37.7890625,1,0,"3",0,0,"1",307,"1"
"207","2005","07","14","Thursday",0,"SB",18,0,"P",1,350,34,53,1,13,0.423238548,0,9,0,31.06640625,2,0,"3",0,0,"1",286,"1"
"209","2005","07","14","Thursday",400,"FT",44,2,"R",1,2100,1210,28,1,6,0.108848334,0,0,12,48.375,1,3,"5",2141,0,"1",295,"1"
"218","2005","07","15","Friday",1,"SA",21,1,"P",1,1900,34,13,2,13,0.094981908,1,3,1,34.2265625,1,1,"5",1711,0,"1",345,"1"
"221","2005","07","15","Friday",1,"SO",21,1,"P",1,500,63,2,1,13,0.262221587,0,21,0,33.2578125,1,0,"5",298,0,"1",341,"1"
"225","2005","07","15","Friday",800,"SB",45,5,"R",1,250,465,18,2,14,0.266229864,40,4,6,38.671875,1,0,"5",2027,0,"1",350,"1"
"226","2005","07","15","Friday",11,"SD",18,1,"P",1,350,93,15,2,1,0.350622478,0,2,0,55.28125,1,2,"3",0,1,"1",333,"1"
"232","2005","07","15","Friday",0,"SA",19,1,"P",1,100,650,15,1,3,0,44,0,0,80.546875,2,0,"3",0,0,"1",349,"1"
"236","2005","07","15","Friday",1540,"FT",38,0,"R",1,1150,185,16,3,7,0.089791245,1,7,6,51.609375,1,1,"5",2990,0,"1",321,"1"
"239","2005","07","15","Friday",0,"SE",18,0,"P",1,2100,1055,6,1,12,0.386072545,0,16,0,57.9296875,1,0,"5",1920,0,"1",339,"1"
"240","2005","07","15","Friday",0,"SO",16,0,"P",1,5950,497,1,1,16,0.056337707,1,11,2,27.62109375,1,0,"5",1547,0,"1",327,"1"
"245","2005","07","16","Saturday",0,"SL",20,1,"P",1,500,0,3,1,9,0,0,12,2,67.9375,2,1,"3",0,0,"1",382,"1"
"246","2005","07","16","Saturday",0,"SO",23,1,"R",1,200,1,3,3,4,0.111626403,0,9,0,77.203125,2,0,"5",0,0,"1",374,"1"
"249","2005","07","16","Saturday",0,"SM",20,2,"R",2,750,1,6,1,6,0.552401662,0,10,1,55.8203125,1,0,"5",1003,0,"1",376,"1"
"250","2005","07","16","Saturday",1,"SF",20,1,"R",1,500,31,12,1,5,0.201479747,0,15,0,67.796875,1,0,"3",360,1,"1",378,"1"
"251","2005","07","16","Saturday",480,"SO",23,5,"P",1,200,1,14,2,12,0,25,14,5,81,1,1,"3",72,2,"1",361,"1"
"254","2005","07","16","Saturday",0,"FT",24,6,"R",1,350,33,82,1,19,0.044896133,1,4,2,17.66015625,1,1,"5",1389,0,"1",380,"1"
"256","2005","07","16","Saturday",0,"SO",23,3,"P",1,750,61,11,1,28,0.03507211,0,6,19,73.5625,1,0,"3",412,1,"1",364,"1"
"257","2005","07","16","Saturday",1,"SM",22,4,"P",3,4300,712,7,3,20,0.082439714,0,23,5,58.671875,2,0,"3",2027,3,"1",365,"1"
"258","2005","07","16","Saturday",500,"SO",18,2,"P",1,700,34,7,1,2,0.042954415,0,2,2,54.234375,1,3,"3",2,1,"1",381,"1"
"263","2005","07","19","Tuesday",800,"SB",19,1,"P",1,100,62,4,1,8,0.071575919,0,19,0,50.1875,1,2,"5",0,0,"1",408,"1"
"264","2005","07","19","Tuesday",1,"SE",24,1,"R",1,500,1241,6,1,5,0.104911156,0,0,0,44.234375,2,0,"3",0,0,"1",411,"1"
"266","2005","07","19","Tuesday",1,"SO",16,1,"P",1,100,247,7,2,6,0.06401227,0,5,0,54.15625,1,0,"5",898,0,"1",412,"1"
"269","2005","07","19","Tuesday",0,"SO",19,3,"R",1,1450,588,9,1,2,0.296027812,0,0,2,70.59375,1,0,"3",0,0,"1",422,"1"
"272","2005","07","19","Tuesday",0,"SO",18,4,"R",1,500,806,13,1,16,0,38,5,0,57.421875,1,0,"5",33,0,"1",402,"1"
"273","2005","07","19","Tuesday",0,"SB",18,0,"P",1,400,0,28,1,17,0.012416982,0,17,0,69.515625,1,0,"3",0,0,"1",420,"1"
"274","2005","07","19","Tuesday",0,"SO",18,1,"P",1,350,124,10,1,47,0,25,24,0,55.3359375,1,4,"3",0,0,"1",406,"1"
"276","2005","07","19","Tuesday",1,"SO",20,2,"R",1,500,32,2,1,2,0,35,0,0,47.6171875,1,2,"4",1464,0,"1",430,"1"
"277","2005","07","19","Tuesday",0,"SO",21,3,"R",3,100,589,12,1,5,0.002307939,0,0,0,21.265625,1,1,"3",0,0,"1",389,"1"
"278","2005","07","19","Tuesday",0,"SL",25,0,"P",1,500,1,26,1,2,0,0,1,2,45.6484375,1,0,"5",0,0,"1",429,"1"
"285","2005","07","19","Tuesday",10,"SF",19,1,"P",1,500,1767,10,1,38,0.381779423,0,13,0,64.03125,1,0,"3",0,0,"1",418,"1"
"288","2005","07","19","Tuesday",0,"SC",21,3,"P",1,300,0,15,2,11,0.035077765,0,2,2,91.84375,1,1,"3",0,1,"1",419,"1"
"289","2005","07","19","Tuesday",1,"SB",23,1,"R",1,2100,62,23,2,4,0.598415086,44,5,1,13.0625,1,3,"5",0,0,"1",409,"1"
"291","2005","07","19","Tuesday",1,"SO",21,1,"P",1,50,124,19,1,8,0.05221588,0,5,2,64.203125,1,0,"5",1648,0,"1",385,"1"
"294","2005","07","19","Tuesday",1,"SM",44,6,"P",1,4700,311,75,1,6,0,0,2,0,56.40625,1,0,"5",6560,0,"1",424,"1"
"303","2005","07","20","Wednesday",0,"SA",21,2,"P",1,150,0,15,2,31,0,0,13,2,84.90625,1,1,"5",72,0,"1",452,"1"
"305","2005","07","20","Wednesday",0,"SO",19,0,"P",1,500,869,18,1,26,0.063488544,0,12,2,78.40625,1,1,"3",0,0,"1",450,"1"
"306","2005","07","20","Wednesday",400,"SB",20,1,"R",1,50,0,6,1,6,0.095566617,0,6,0,61.421875,1,0,"5",0,0,"1",439,"1"
"307","2005","07","20","Wednesday",0,"SN",18,0,"P",1,400,464,7,2,12,0,20,14,1,67.28125,1,0,"5",1851,0,"1",456,"1"
"309","2005","07","20","Wednesday",1,"SO",18,0,"P",1,1050,1085,5,1,37,0.073128835,50,18,1,65.671875,1,2,"3",0,0,"1",448,"1"
"315","2005","07","21","Thursday",0,"SL",24,3,"P",1,950,1364,12,2,13,0,25,8,6,87.078125,1,4,"3",0,1,"1",482,"1"
"321","2005","07","21","Thursday",0,"SB",28,2,"P",2,1800,1768,2,3,1,0.30291325,0,0,4,87.953125,1,1,"2",0,1,"1",481,"1"
"324","2005","07","21","Thursday",0,"SO",19,1,"P",1,250,0,18,1,13,0,0,14,0,24.58203125,1,1,"3",0,0,"1",498,"1"
"327","2005","07","21","Thursday",100,"SO",21,4,"R",1,50,464,11,1,13,0,65,2,3,70.203125,1,3,"5",298,0,"1",474,"1"
"329","2005","07","21","Thursday",0,"SL",21,3,"P",2,200,123,6,4,7,0.449629705,0,6,3,57.9375,3,0,"3",298,3,"1",489,"1"
"330","2005","07","21","Thursday",0,"SO",21,6,"P",1,200,94,3,1,28,0.047600431,0,26,4,48.5625,1,0,"5",2580,0,"1",490,"1"
"331","2005","07","21","Thursday",0,"SC",27,0,"R",1,1800,124,6,2,9,0.334754881,115,5,0,38.5078125,1,0,"5",449,0,"1",468,"1"
"333","2005","07","21","Thursday",1,"SA",29,6,"H",1,8550,3844,8,2,5,0.03426387,44,0,3,26.66015625,1,1,"5",1088,0,"1",479,"1"
"343","2005","07","22","Friday",100,"SO",22,4,"R",1,350,32,27,1,4,0.455958159,84,0,0,56.2109375,2,1,"5",72,0,"1",515,"1"
"347","2005","07","22","Friday",0,"SF",18,1,"P",1,700,712,11,1,19,0.055946274,0,25,1,78.453125,1,1,"3",0,0,"1",512,"1"
"350","2005","07","22","Friday",0,"SC",21,0,"P",1,900,464,38,1,6,0.349069199,95,5,3,76.015625,1,0,"5",1763,0,"1",531,"1"
"352","2005","07","22","Friday",0,"SO",27,5,"R",1,2300,403,13,2,1,0,0,3,7,30.65625,1,2,"5",0,0,"1",533,"1"
"356","2005","07","22","Friday",40,"SO",19,0,"P",1,1700,0,5,1,11,0,42,16,3,88.125,2,1,"3",0,0,"1",536,"1"
"357","2005","07","22","Friday",400,"SO",19,1,"P",1,200,589,7,1,2,0,0,2,0,62.8203125,1,2,"3",0,0,"1",523,"1"
"358","2005","07","22","Friday",1,"SO",23,0,"R",1,500,0,9,1,6,0,0,0,7,72.5625,2,1,"3",0,0,"1",530,"1"
"360","2005","07","22","Friday",0,"SB",22,1,"R",1,21200,2139,8,2,4,0,14,7,5,33.3671875,4,0,"5",72,0,"1",535,"1"
"362","2005","07","22","Friday",0,"SO",18,0,"P",1,1450,1396,8,2,5,0.379516728,27,0,0,52.390625,1,1,"5",2141,0,"1",522,"1"
"363","2005","07","22","Friday",0,"SO",21,1,"P",1,850,1828,22,1,12,0,0,1,0,50.4765625,1,1,"5",2761,0,"1",518,"1"
"364","2005","07","22","Friday",0,"SA",18,0,"P",1,50,1768,1,1,5,0.024630367,41,0,0,50.59375,1,1,"3",0,0,"1",507,"1"
"365","2005","07","22","Friday",0,"SL",19,1,"P",1,2300,155,11,2,26,0,1,16,0,80.53125,1,0,"3",827,2,"1",520,"1"
"366","2005","07","23","Saturday",0,"SO",17,0,"P",1,250,0,3,1,12,0,1,3,1,80.25,1,1,"5",1692,0,"1",556,"1"
"368","2005","07","23","Saturday",1,"SO",23,0,"P",1,500,216,20,1,10,0.041529477,0,11,4,52.640625,1,3,"3",0,0,"1",548,"1"
"371","2005","07","23","Saturday",1,"SO",20,3,"P",1,500,31,8,2,22,0.054254269,0,18,0,38.1171875,1,1,"3",328,2,"1",564,"1"
"373","2005","07","23","Saturday",0,"SO",24,1,"P",1,1050,712,1,1,2,0.1935411,0,2,1,51.2265625,1,0,"5",498,0,"1",545,"1"
"374","2005","07","23","Saturday",0,"SO",17,1,"P",1,500,464,1,1,6,0,0,21,0,30.05078125,1,4,"5",0,0,"1",542,"1"
"379","2005","07","23","Saturday",0,"SO",25,0,"R",1,2100,31,5,1,1,0.014282011,1,4,1,32.4609375,1,1,"5",1920,0,"1",567,"1"
"380","2005","07","23","Saturday",0,"SO",32,1,"P",1,9200,7780,10,3,5,0,0,0,2,43.140625,1,3,"4",0,0,"1",563,"1"
"384","2005","07","23","Saturday",1,"SL",24,2,"P",1,350,33,15,1,18,0.087125612,0,26,6,63.3828125,1,4,"5",684,0,"1",544,"1"
"385","2005","07","23","Saturday",500,"SB",25,1,"R",2,350,3907,4,1,1,0.464734115,0,0,1,37.8203125,1,1,"3",0,0,"1",557,"1"
"388","2005","07","23","Saturday",340,"SO",18,4,"P",1,50,1024,8,3,26,0,0,11,1,72.1875,1,3,"5",0,0,"1",569,"1"
"389","2005","07","26","Tuesday",1,"SB",24,1,"R",3,200,0,2,2,14,0.562444467,0,2,1,33.3671875,2,0,"3",0,1,"1",572,"1"
"395","2005","07","26","Tuesday",0,"SH",21,4,"P",1,2850,1,30,1,5,0.021952547,0,21,2,78.828125,1,0,"3",3631,1,"1",573,"1"
"397","2005","07","26","Tuesday",0,"SL",22,0,"P",1,2100,434,10,2,14,0.12445262,0,22,5,47.0078125,1,4,"3",0,1,"1",589,"1"
"399","2005","07","26","Tuesday",0,"SB",22,3,"P",1,350,342,16,1,24,0.09408399,1,17,3,75.3125,1,2,"3",0,0,"1",612,"1"
"400","2005","07","26","Tuesday",500,"SO",18,1,"P",1,950,1334,10,1,16,0.1690302,30,16,0,40.4296875,1,1,"5",0,0,"1",602,"1"
"405","2005","07","26","Tuesday",0,"SD",19,4,"P",1,100,1393,1,1,29,0.036237436,1,27,1,22.56640625,1,0,"5",1389,0,"1",605,"1"
"417","2005","07","27","Wednesday",0,"SA",17,0,"P",1,500,1986,2,1,9,0.027166239,0,7,9,56.125,1,0,"5",898,0,"1",620,"1"
"420","2005","07","27","Wednesday",0,"SC",18,1,"P",1,150,31,2,2,10,0,1,7,0,72.203125,1,2,"5",0,0,"1",619,"1"
"421","2005","07","27","Wednesday",1,"SO",23,1,"R",1,50,2789,2,1,9,0.456198497,0,8,1,60.609375,1,0,"3",0,0,"1",621,"1"
"427","2005","07","27","Wednesday",0,"SM",23,5,"H",1,400,4124,2,2,3,0,35,0,2,70.796875,1,1,"5",383,0,"1",618,"1"
"428","2005","07","27","Wednesday",1,"SO",19,1,"R",1,150,403,10,2,15,0.229404042,40,21,0,97.984375,1,0,"5",898,0,"1",625,"1"
"433","2005","07","27","Wednesday",800,"SN",18,1,"P",1,400,402,21,1,14,0,0,7,0,34.8046875,1,1,"5",1030,0,"1",633,"1"
"434","2005","07","27","Wednesday",0,"SM",18,0,"P",1,250,528,23,2,37,0,0,14,0,56.1640625,1,0,"3",0,1,"1",622,"1"
"437","2005","07","28","Thursday",100,"SC",19,1,"P",3,150,34,6,1,6,0.143671881,0,24,1,46.0546875,2,2,"5",298,0,"1",666,"1"
"438","2005","07","28","Thursday",1,"SO",18,1,"P",1,650,0,11,1,37,0.133567989,0,23,1,67.578125,1,0,"5",0,0,"1",654,"1"
"439","2005","07","28","Thursday",1,"SC",18,0,"P",1,150,123,10,1,36,0,0,12,0,63.0859375,1,4,"4",30,0,"1",653,"1"
"442","2005","07","28","Thursday",0,"SO",20,1,"P",2,950,31,10,1,7,0,0,7,0,77.140625,1,4,"3",830,1,"1",667,"1"
"443","2005","07","28","Thursday",1,"SB",21,2,"P",1,1900,1674,15,1,37,0,186,17,3,65.78125,1,0,"3",2141,1,"1",649,"1"
"445","2005","07","28","Thursday",1,"SO",23,6,"R",1,1450,526,1,2,30,0,17,18,0,15.33398438,1,4,"4",1088,0,"1",648,"1"
"456","2005","07","28","Thursday",1,"SA",20,3,"P",1,350,404,21,1,7,0,0,8,1,51.734375,1,1,"3",1030,1,"1",645,"1"
"459","2005","07","28","Thursday",200,"SO",24,3,"P",1,1050,0,82,2,15,0.078699022,115,16,6,39.8515625,2,0,"2",1038,0,"1",663,"1"
"461","2005","07","28","Thursday",0,"SO",23,1,"R",1,50,217,20,1,10,0,0,6,2,56.9609375,2,2,"4",570,0,"1",677,"1"
"465","2005","07","29","Friday",760,"SO",24,1,"R",1,6000,4587,18,1,5,0.070643746,280,17,0,77.015625,2,3,"3",0,0,"1",691,"1"
"472","2005","07","29","Friday",2,"SO",21,1,"R",1,850,186,3,2,3,0.192670965,26,1,0,70.421875,1,1,"5",1030,0,"1",705,"1"
"473","2005","07","29","Friday",1,"SE",18,1,"P",1,400,1054,2,2,23,0,0,16,0,49.515625,2,2,"4",570,0,"1",687,"1"
"475","2005","07","29","Friday",100,"SO",37,1,"R",1,1250,806,6,1,2,0.202813315,26,0,6,41.5,1,0,"5",2761,0,"1",690,"1"
"480","2005","07","29","Friday",0,"SO",16,1,"P",1,400,1054,33,2,61,0.204049815,1,21,1,42.6875,1,2,"5",1464,0,"1",700,"1"
"482","2005","07","29","Friday",1,"FT",18,0,"P",1,200,1767,26,3,40,0,0,7,2,81.84375,1,1,"5",1851,0,"1",683,"1"
"486","2005","07","30","Saturday",0,"SA",21,3,"P",1,1300,1,7,2,19,0,1,8,2,80.53125,1,3,"3",1003,2,"1",720,"1"
"487","2005","07","30","Saturday",0,"SB",23,6,"R",1,14850,6634,6,1,2,0,0,0,1,27.8515625,2,2,"4",1389,0,"1",722,"1"
"489","2005","07","30","Saturday",1560,"SO",19,1,"P",1,7500,1117,5,1,13,0.144256686,92,4,0,21.66796875,1,2,"5",30,0,"1",735,"1"
"495","2005","07","30","Saturday",0,"SC",18,5,"P",1,2050,123,12,1,2,0.121062878,46,11,2,12.48242188,1,0,"5",0,0,"1",727,"1"
"496","2005","07","30","Saturday",0,"SO",20,1,"R",1,7350,7780,4,2,6,0,280,0,0,70.203125,1,2,"4",0,0,"1",719,"1"
"498","2005","07","30","Saturday",0,"SO",21,2,"P",1,950,0,5,1,12,0,0,0,0,77.109375,2,4,"3",0,0,"1",718,"1"
"501","2005","07","30","Saturday",0,"SB",21,2,"R",1,950,30,7,1,4,0.284261329,0,0,0,53.6640625,1,4,"5",0,0,"1",736,"1"
"502","2005","07","30","Saturday",0,"SD",20,3,"P",2,1050,154,2,1,27,0.012673082,0,7,2,63.328125,1,1,"3",521,1,"1",733,"1"
"503","2005","07","30","Saturday",0,"SO",21,3,"P",2,1850,5704,13,1,9,0.055743849,90,0,0,37.828125,1,0,"5",684,0,"1",732,"1"
"515","2005","08","02","Tuesday",1,"SF",20,3,"P",1,500,0,9,1,50,0.043737207,0,21,1,64.5,1,3,"3",0,0,"1",770,"1"
"518","2005","08","02","Tuesday",800,"SO",21,0,"P",2,250,1301,26,1,9,0,1,17,2,74.1875,1,0,"5",569,0,"1",744,"1"
"520","2005","08","02","Tuesday",880,"SL",22,4,"P",3,600,31,3,4,14,0.015409684,1,6,3,24.87890625,1,2,"3",570,3,"1",760,"1"
"521","2005","08","02","Tuesday",120,"SA",18,0,"P",2,350,0,24,1,6,0.043555533,1,16,0,45.265625,1,3,"5",0,0,"1",780,"1"
