"GOOD","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
"1",0,"SA",19,0,"P",1.31,150,9,2,26.77,7,3,23,154.44,0.0982507756,83.9375,1,1,0,"3",1
"1",1,"SB",20,1.11,"P",1.05,1768,31.07,1.16,21.8,15,15,7,1004.48,0.0650839009,64.1875,1.08,0,54.2899999999996,"5",2.42
"1",0,"SC",36,1,"H",1.37,4700,17,1.65,42.94,11.92,1,27.14,124,0.0278516425,80.25,1.19,0,179.88,"5",1.86
"0",0,"SA",30,0,"R",1.125,1427.5,26.05,1.42,55.64,4.37,2.2,6.83,1245,0,41.3109765625,1.01,0,80.1399999999996,"5",1.88
"0",2,"SC",20,1,"P",1,750,2,1,271,1,0,13,0,0.2038313127,72.171875,1,0,0,"3",0
"1",1,"SK",18,0,"P",1.15,659,33,1,22.31,27,0,10,306.37,0,46.4296875,1.09,0,0,"3",2.12
"1",0,"SO",18,0.66875,"P",1,100,4,1,35.9666666666667,10.0366666666667,0.199999999999999,13.391,124,0.0924624477,27.51953125,1,0,0,"3",1
"0",1,"SM",21,3,"H",1,2559,3,1,161,9,3.21,21,1027.4,0.2453958509,59.578125,1,0,987.19,"5",2
"1",0,"SO",20,2,"P",1,512.625,5,1,1,0,0,9,119.5,0.0005284478,55.4453125,1.1,0,0,"3",2.63
"1",0,"SO",17,0,"P",1.16,356.5,14.94,1.1,42.89,4,0.309999999999999,2,239.432857142857,0.2380429762,56.40625,1.1475,0,3.07999999999927,"5",1.885
"1",160,"SB",18,0.39,"P",1.055,495.5,30.3,1.02,34.83,21,0,32,346.41,0,76.9375,1.06,0,4.38999999999925,"5",2.21
"0",0,"SA",30,0,"R",1.125,1427.5,26.05,1.42,55.64,4.37,2.2,6.83,1245,0,41.3109765625,1.01,0,80.1399999999996,"5",1.88
"1",100,"SN",26,0,"P",1.22,500,22,1,0,10,6,5,703.4925,0.0897657545,50.25,1.05,0,0,"3",3
"1",0,"SL",22,5,"P",1,700,1,1,1,23,4.53,33,1,0.1289645131,61.296875,2,1,275,"3",1
"1",0,"SO",24,1,"P",1.04,680,32.51,1.09,12.86,13.2233333333333,2.27,13.33,247.2,0,44.265625,1.06,0,22.5899999999994,"5",2.68
"1",0,"SO",18,0.376666666666667,"P",1.07,311.125,39,1,31.64,19,0.259999999999999,24,210.38,0.0531248706,74.8125,1.05,0,0,"3",2.27
"1",0,"SC",18,0,"P",1.15,438.291666666667,7,1,25.25,23,0.64,76,88.225,0.1067583885,67.328125,1.03,0,1.47999999999925,"5",2.82
"1",0,"SC",20,2,"P",1,6000,6,2,30,14,2,29,1254.39,0.1214747704,64.234375,2,1,1950,"3",0
"1",0,"SC",18,0,"P",1.05,150,7,1,23.385,1,1,11,1,0,53.1015625,1.08,0,0,"3",2.83
"1",0,"SC",20,1,"R",1.11,476,24.8566666666667,1.09,22.35,8.14,1.11,10.13,326.6,0.2206156091,37.4609375,1.09,0,11.1199999999993,"5",2.56
"1",1,"SD",23,1.79,"R",1.11,605,22.65,1.17,19.89,7.03,1.31,8.86,415.54,0,28.2265625,1.03,0,59.6799999999996,"5",2.17
"1",300,"SK",21,1.38,"R",1.08,747.833333333333,25.51,1.1,16.33,8.49,0.88,10.28,463.96,0.0087860486,47.2421875,1.06,0,10.6399999999994,"5",2.44
"1",1,"SO",23,1.76,"R",1.11,680,19.21,1.16,16.11,6.48,1.12,6.495,349.45,0.3126287283,51.4375,1.07,0,25.8399999999994,"5",2.71
"1",0,"SA",23,4,"P",1.19,950,32,4,0,13,6,12,61,0.1053873827,47.828125,1,2,0,"3",1
"1",260,"SO",19,1.26,"R",1,542.625,5,1.24,7.6,8.2,0.725,10.52,208.39,0.0460027052,46.8984375,1,0,108.91,"5",2
"1",0,"SK",25,1.21,"P",1.32,2845.5,65,1,94.39,27,7,6,1290.36,0.0617304108,91.125,1.21,0,0,"3",1.89
"0",0,"SD",19,1,"R",2,469.25,4,1,230,5.64,0,12.994,387.56,0.356764555,40.765625,2,1,11,"3",1
"1",2,"SO",21,1.82,"R",1.19,609.5,15.335,1.12,16.25,11.44,1.15,20.02,263.9,0.1879235147,74.875,1,0,94.45,"5",0
"1",1,"SO",31,1.42,"R",1.07,958.5,40,1,17.02,4.5,0,6.58,754.795,0.258034437,38.53125,1.05,0,0,"3",2.34
"1",0,"SO",20,1,"P",1.01,284,16.36,1.02,26.515,9.81666666666667,1.2,7.66,97.44,0.1185319114,49.265625,1.04,0,7.41999999999927,"5",2.67
"1",1,"SA",22,4,"P",1.26,400,25,1,0,18,3.31,51,373,0.0271141469,38.984375,1,1,725,"3",0
"1",300,"SO",19,0.8,"P",1.07,246.5,14,1,19,11,0,34,106.71,0.0362955423,74.75,1,0,0,"3",1
"1",2,"SO",19,0.74,"P",1.04,208.5,10.21,1.06,19.5,11.28,0.7,10.72,102.54,0.1067439858,52.3515625,1,0,9.58999999999984,"5",0
"0",0,"SM",22,1,"P",1.19,1231.66666666667,27.5,1.49,52.67,1,5,13.07,579.56,0,93,1,0,343.19,"5",1
"1",0,"SL",20,3,"P",1.29,2350,23,2,23.18,0,4.38,2,247,0,57.21875,1,1,1920,"3",1
"0",1000,"SL",26,0,"P",1.3,350,10,3,0,23,8,24,310,0.0258136083,29.3515625,1,0,0,"3",1
"0",1,"SD",23,1,"R",1.09,786.5,23.7,1.21,40.59,5.9,1.93,14.14,590.26,0.0070633173,60.515625,1.07,0,42.6399999999995,"5",2.5
"0",0,"FT",26,0,"P",1.08,1136.5,25.43,1.35,54.07,7.79,3.74,13.2,878.3,0,57.48453125,1.11,0,65.1799999999996,"4",2.31
"1",0,"SF",19,0.99,"R",1.1,420.2,26.2433333333333,1.1,25.715,9.25,0.95,12.59,286.21,0.3696014397,54.7421875,1.02,0,9.1499999999993,"5",2.23
"0",1,"SO",20,0.93,"P",1.13,196,15.5525,1.07,54.38,8.72,0,9.265,248.14,0.2176024243,43.1328125,1,0,81.915,"5",1
"1",1,"SO",21,1.05,"P",1.1,950,10,1,30,28,3,10,395.432857142857,0.2730471147,60.953125,1.12,0,0,"3",2.9
"0",0,"SO",18,1,"R",1.02,291.7,24.9,1.06,33.97,9.66,0.46,12.6,283.523333333333,0,48.217060546875,1.04,0,9.45999999999928,"4",2.46
"0",600,"SB",20,1.05,"R",1.09,477,21.38,1.07,56.67,9.95,0.94,19.93,360.02,0.1916109626,71.09375,1.09,0,11.4799999999993,"5",2.19
"0",0,"SB",19,1,"P",1.08,533.5,11,1.25,40,4,3,4,290.91,0.1868432141,30.79296875,1.08,0,18.3399999999994,"5",3
"1",0,"SB",30,1.23,"R",1.27,1027.66666666667,11,1,12.48,5.53,1.43,10.88,952.9,0.1345534017,74.3125,1,0,0,"3",1
"0",0,"SO",30,0,"R",1.19,821.5,22.83,1.63,57.3,5.185,3.54,5.08,1058.48,0.339156392,38.8125,1.11,0,40.3399999999997,"5",2.45
"1",0,"SH",19,1,"P",1.09,500,9,3,30,23,2,10,184.35,0,57.390625,1,1,0,"3",4
"1",0,"SF",17,0,"P",1.06,242.458333333333,14.1990740740741,1.06,27.7733333333333,6,0,12,94.3,0.0379615118,64.875,1.0075,0,2.94999999999931,"5",2.01
"1",0,"SO",19,1,"P",1.14,250,12,1,1,22,1,10,32.76,0.0279518446,84.625,1,1,2,"3",1.21333333333333
"0",500,"SB",21,0.96,"R",1,554,3,1,78.02,7.25,1.415,12.12,392.38,0.6305130385,71.734375,1.12,0,0,"3",2.27
"1",1,"SO",19,2,"R",1.05,288.2,21.3233333333333,1.12,28.58,9.73,1.04,14.77,173.570833333333,0.1207500766,67.140625,1.03,0,55.2,"5",2.61
"1",0,"SM",23,5,"R",1.37,100,13,2,0,10.36,3,14.09,294.14,0,35.234375,1,2,684,"3",1.44
"1",1,"SL",26,2.1,"P",1,3200,6,3,0,11.86,9,5,1735,0.049869619,56.9296875,1,2,960,"3",1
"1",1,"SO",19,0,"P",1,367.5,5,2,89,12,2,16,169.566666666667,0.0954345851,75.90625,1.05,0,0,"3",2.83
"1",0,"SF",18,0,"P",1,286.916666666667,2,1.15333333333333,25,10.98,0,16.93,97.6333333333333,0.0682869942,24.45703125,1,0,21.3199999999999,"5",0
"0",0,"SA",20,2,"R",1.01,489.5,22.72,1.08,37.18,8.44,1.32,16.29,321.26,0.0638384211,79.234375,1.07,0,60.4299999999996,"5",2.23
"1",2,"SA",21,1,"P",1.05,538.5,44,1,18.59,13.345,2,10.89,313.79,0.0916146927,37.7890625,1.06,0,0,"3",2.38
"1",0,"SB",18,0.57,"P",1.1,409.25,53,1,29.63,9,0,13,331.08,0.4232385475,31.06640625,1.15478260869565,0,0,"3",2.155
"1",400,"FT",44,1.13,"R",1.20333333333333,2100,28,1.34,0,6.81,4.62,7.3,1210,0.1088483338,48.375,1.16,0,77.3599999999998,"5",2.02
"0",0,"SC",18,0,"P",1.07,322.5,25.6,1.01,28.62,8.22,0.139999999999999,9,284.22,0,34.203125,1.03,0,21.2728571428564,"5",2.21
"1",1,"SA",21,1.07,"P",1.02,384,13,1.12,1,3,1.76,13,202.46,0.0949819081,34.2265625,1.07,0,10.5533333333327,"5",2.54
"1",1,"SO",21,1.42,"P",1.05,638,20.245625,1.2,12.49,21,2.66,13,188.81,0.2622215869,33.2578125,1.06,0,1.55999999999935,"5",2.58
"1",800,"SB",45,1.51,"R",1.2,250,18,2,40,7.42,6,9.1,465,0.2662298642,38.671875,1.09,0,44.2899999999996,"5",2.22
"1",11,"SD",18,1,"P",1.21,593.583333333333,15,2,17.01,7.37,0.403333333333333,1,281.94,0.3506224779,55.28125,1,1,0,"3",2
"1",0,"SA",19,1,"P",1.03,100,15,1,21.2066666666667,0,0,3,123.74,0,80.546875,1.08,0,0,"3",2.47333333333333
"0",0,"SB",18,1,"P",1.12,271.642857142857,17.55,1.04,43.95,4,0.0599999999999986,5,204.395,0,62.503203125,1,0,17.1999999999999,"5",0
"0",0,"SO",20,1,"P",1,433,5,1,0,1,1.295,6,229.88,0.0471019316,57.4609375,1.085,0,0,"3",2.79
"0",320,"SN",20,1,"P",1,1100,5,2,0,6,3,12,497.38,0.0602993299,78.640625,2,1,0,"3",2
"1",1540,"FT",38,0,"R",1.53,1944.5,29.33,1.75,237.14,5.28,4.54,10.55,1282.86,0.0897912448,51.609375,1.37,0,122.84,"5",1.67
"0",0,"SO",18,0.755,"P",1.05,235.625,28,1,55.83,8.75,0.119999999999999,13.725,217.4,0.0769873261,31.10546875,1.04,0,0,"3",2.54
"1",0,"SE",18,0,"P",1.07,243.5,25.11,1,31.4,11.2666666666667,0.219999999999999,15.2533333333333,369.146666666667,0.3860725453,57.9296875,1.05,0,-7.60280727263307e-13,"5",2.575
"1",0,"SO",16,0,"P",1.02,303.125,10.5225,1.03,37.87,11,0.49,16,111.660333333333,0.0563377071,27.62109375,1.1075,0,-7.04574176779715e-13,"5",3.16
"1",0,"SL",20,1.25,"P",1,500,3,1,7.40428571428571,12,1.7875,9,75.18,0,67.9375,1.03,0,0,"3",2.44
"1",0,"SO",23,1.98,"R",1.06,520,17.99,1.03,19.74,8.48,1.44,12.21,257.52,0.1116264029,77.203125,1.05,0,37.2599999999995,"5",2.46
"0",0,"SO",21,2,"P",1.14,1104,19,2,54.34,4,3.08,1,510.49,0,43.1171875,1,1,1107,"3",3
"1",0,"SM",20,2,"R",1.08,958,6,1.16,0,10,1,6,277.53,0.5524016619,55.8203125,1.12,0,23.7799999999995,"5",2.86
"1",1,"SF",20,1,"R",1.08,500,12,1,0,11.77,1.27,20.22,261.695,0.2014797474,67.796875,1,1,360,"3",1.67
"1",480,"SO",23,5,"P",1.22,200,14,2,25,14,5,12,237.49,0,81,1,2,72,"3",1.34
"0",1,"SL",21,0,"P",1.06,484.5,19,1.24,52.2128571428571,22,1,2,392.46,0,39.203125,1.1,0,18.0999999999994,"5",2.55
"0",1,"SA",23,1.23,"R",1.03,501.5,27.32,1.22,43.72,3.23,1.53,7.83,478.31,0,47.47875,1.07,0,19.4499999999995,"4",2.26
"1",0,"FT",24,1.12333333333333,"R",1.19,915,26.51,1.23,31.14,3.73,1.94,7.29,625.095,0.0448961325,17.66015625,1.07,0,54.4799999999996,"5",1.79
"1",0,"SO",23,3,"P",1.35,750,11,1,35.12,14.77,19,28,61,0.0350721098,73.5625,1,1,412,"3",0
"1",1,"SM",22,4,"P",1.46,4300,7,3,0,23,5,20,712,0.0824397141,58.671875,2,3,2027,"3",0
"1",500,"SO",18,0.93,"P",1.08,700,7,1,3.18,12.59,1.01,2,101.87,0.0429544147,54.234375,1,1,2,"3",3
"0",0,"SB",19,0,"P",1.14,274.5,19.15,1.11,102.475,14,0,38,136.063333333333,0,32.703125,1.04,0,0.139999999999289,"5",2.34
"1",800,"SB",19,0.88,"P",1.22,399,21.3033333333333,1.28,18.91,19,0,8,269.23,0.0715759185,50.1875,1,0,126.88,"5",2
"1",1,"SE",24,1.68,"R",1.11,846.5,6,1,0,4.6,1.24333333333333,7.67,542.119333333333,0.1049111555,44.234375,1.12,0,0,"3",2.3
"1",1,"SO",16,0.72,"P",1.05,174,18.51,1.04,43.15,5,0.159999999999999,6,172.38,0.0640122702,54.15625,1.05,0,3.76999999999931,"5",2.37
"0",0,"SO",19,0,"P",1.71,494,6,2,230,3,1,35,380.364166666667,0.1862205504,61.15625,1,2,33,"3",0.975
"1",0,"SO",19,1.15,"R",1.06,308.5,9,1,19.24,11.97,0.79,17.13,69.6395238095238,0.2960278122,70.59375,1.06,0,0,"3",2.825
"1",0,"SO",18,0.86,"R",1.05,450,30.22,1.065,43.12,8.87,0.85,10.95,272.407,0,41.3094140625,1.04,0,18.2599999999993,"5",2.41
"1",0,"SB",18,0,"P",1.13,461,28,1,33.72,17,0,17,274.062,0.0124169822,69.515625,1.11478260869565,0,0,"3",2.11
"1",0,"SO",18,0.57,"P",1.11,545.625,10,1,9.83,24,0,47,87.56,0,55.3359375,1.05478260869565,0,0,"3",4
"1",1,"SO",20,1.31,"R",1.04,388.7,24.69,1.06,45.3,8.94,0.989166666666667,11.9,379.048333333333,0,57.249765625,1.02,0,7.41999999999928,"4",2.47
"1",0,"SO",21,1.65,"R",1.09,449.5,12,1,16.75,0,0.94,5,230.66,0.0023079388,21.265625,1.06,0,0,"3",3.02
"1",0,"SL",25,1.55,"P",1.04,1138.5,26,1.43,16.83,9.76,4.07,2,654.95,0,45.6484375,1.08,0,40.6699999999996,"5",2.15
"1",10,"SF",19,0.63,"P",1.1,500,10,1,6.98,13,0,38,149.802857142857,0.381779423,64.03125,1.0875,0,0,"3",3.02
"0",0,"SO",18,1,"P",1.05,336,28,1,28.96,7,0.269999999999999,8,208.52,0.0190419333,48.09375,1.02,0,0,"3",2.31
"1",0,"SC",21,3,"P",1.35,300,15,2,21.08,2,2,11,330.998333333333,0.0350777647,91.84375,1,1,0,"3",0.61
"1",1,"SB",23,1,"R",1.12,2100,23,1.71,33.51,7.6,4.96,10.47,1001.57,0.598415086,13.0625,1.12,0,120.1,"5",2.19
"1",1,"SO",21,1.21,"P",1.15,498.5,19,1,21.56,5,2,8,248.75,0.0522158801,64.203125,1,0,39.09,"5",0
"0",1,"SO",23,1.01,"R",1.08,364.5,20.46,1.19,52.21,5.48,1.09,8.83,370.05,0.2728191791,58.6875,1.09,0,12.1399999999994,"5",2.67
"0",380,"SA",18,0,"P",1.15,2217.33333333333,27.44,1.42,55.365,14.29,15,15,1190.73,0.0643372955,50.8828125,1.11,0,39.5599999999997,"5",2.5725
"1",1,"SM",44,6,"P",1.38333333333333,4700,75,1.75,100.76,11.8233333333333,0,27.35,311,0,56.40625,1.34,0,1130.03,"5",1.85
"0",0,"SA",18,0,"P",1.05,241.5,18.6585714285714,1.05,71.3,12,0,15,148.713333333333,0.219254388,49.953125,1.06,0,-7.28732629795559e-13,"5",2.64
"0",0,"SM",20,2,"P",1.21,1450,11,1,48.31,19,0,26,422.016666666667,0,51.5,1,1,1454,"3",1
"1",0,"SA",21,2,"P",1.15,150,15,1.25,0,13,2,31,176.23,0,84.90625,1,0,150.04,"5",1
"0",0,"SO",22,0.84,"R",1.12,410.5,21.11,1.18,55.03,5.9575,1.21,9.3,355.31,0.4654815868,45.7265625,1.06,0,7.05999999999944,"5",2.36
"1",0,"SO",19,0,"P",1.18,602.375,18,1,13.69,12,1.5,26,139.41,0.0634885435,78.40625,1,0,0,"3",1
"1",400,"SB",20,2.04,"R",1.1,512.75,6,1.2,0,11.44,1.06,16.37,257.69,0.0955666166,61.421875,1.06,0,99.2999999999995,"5",2.85
"1",0,"SN",18,0.76,"P",1.04,295,21.68,1.06,30.48,14,1,12,162.203333333333,0,67.28125,1.01,0,4.40999999999924,"5",2.27
"1",1,"SO",18,0,"P",1,1050,5,1,50,18,1,37,1085,0.0731288353,65.671875,1,0,0,"3",2
"0",0,"SA",22,3,"R",1.1,738,14,1,1,8.125,1.09,8.02,403.96,0.1860068603,51.53125,1.05,0,36.8999999999996,"5",2.49
"0",0,"SB",20,0,"P",1.15,150,6,1,0,18,2.0625,17,155,0.1204061222,59.1875,1.1,0,0,"3",4
"1",0,"SL",24,3,"P",1.09,950,12,2,25,14.6185714285714,4.75,17.3884615384615,300.76,0,62.1389453125,1,1,0,"3",1.78666666666667
"0",1,"SK",18,1.01,"R",1.34,627.333333333333,17.605,1.43,79.0066666666667,7.95,0.7,1,480.66,0.2065102924,28.8984375,1,0,125.77,"5",1
"0",0,"SF",23,2,"P",1.21,714,34,1.26,41.3225,3,3,8,499.23,0,42.8984375,1,0,192.043333333333,"5",0
"1",0,"SB",28,2,"P",2,1800,2,3,0,9.44,6.11,1,1768,0.3029132504,87.953125,1,1,0,"2",1
"1",0,"SO",19,1,"P",1.09,219,18,1,22.995,14,0,13,98.93,0,24.58203125,1.01,0,0,"3",1.86
"1",100,"SO",21,4,"R",1.07,828.916666666667,21.8533333333333,1.33,20,2,3,13,537.78,0,70.203125,1.08,0,15.2399999999995,"5",2.6
"1",0,"SL",21,3,"P",2,200,6,4,62.005,6,3,7,454.27,0.4496297045,57.9375,3,3,298,"3",0
"1",0,"SO",21,1.21,"P",1.05,806.666666666667,19.115625,1.19,11.47,26,4,28,269.17,0.0476004306,48.5625,1.07,0,17.8999999999994,"5",2.75
"1",0,"SC",27,0,"R",1.04,1165.5,26.5,1.34,23.37,5.04,2.34,8.41,769.21,0.3347548805,38.5078125,1.03,0,46.5099999999996,"5",2.33
"1",1,"SA",29,6,"H",1.28,8550,8,2,20.2,6.44,3,13.81,3844,0.0342638699,26.66015625,1.14,0,728.96,"5",2.41
"0",0,"SD",18,1,"P",1.275,1100,8,2,45,6,0,34,486.306666666667,0.0233449023,63.71875,1,2,1012,"3",1
"0",0,"SO",21,1.16,"R",1.07,741.5,27.14,1.2,48.49,4.87,1.36,8.44,468.37,0.3317752127,58.4453125,1.08,0,12.5599999999994,"5",2.78
"0",0,"SO",20,0.94,"R",1.02,458.5,24.99,1.01,45.46,10.62,1.02,20.71,365.59,0.0534651125,80.796875,1.04,0,14.1999999999993,"5",2.65
"1",100,"SO",22,4,"R",1.18,350,27,1.18,20.64,11.66,1.8,15.82,32,0.4559581587,56.2109375,1.07,0,93.6199999999997,"5",2
"1",0,"SF",18,1,"P",1.04,405.625,11,1,0,25,1,19,121.03,0.0559462737,78.453125,1,0,0,"3",1
"0",0,"SO",26,4,"R",1.105,1247,23.02,1.45,56.91,4.42,2.04,9.57,725.48,0.0029459411,49.4375,1.06,0,438.49,"5",2.03
"1",0,"SC",21,0,"P",1.04,883.916666666667,28.56,1.16,21.52,5,3,6,465.58,0.3490691986,76.015625,1.09,0,17.1099999999995,"5",2.49
"1",0,"SO",27,1.68,"R",1.05,1073.5,32.3,1.38,14.62,2.58,2.65,5.09,874.4,0,30.65625,1.02,0,58.0099999999996,"5",2.45
