"disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","app_id","app_date"
0,"SE",18,0,"P",1.1,468.25,12,2,25,11,0,13,156.145,0.0279405393,71.84375,1,1,0,"3",0,-52,"05JUL2005"
1,"SL",22,5,"P",1.18,2271,35,2,35.475,27,4,14,805.21,0,67.34375,1,2,1914,"3",1,-66,"05JUL2005"
0,"SO",20,1,"P",1,1000,5,2,286,9.23166666666667,1.86,16,125,0.0199581245,48.9921875,1,2,739,"3",1.93,-87,"05JUL2005"
0,"SG",19,1,"P",1.24,827,54,1,108.77,12,0,30,507.255,0.0056898425,90.171875,1.316,0,45.9799999999999,"2",1.85,-69,"05JUL2005"
800,"SF",29,3.25,"R",2,3662.5,31,4,407.18,17,8.88,32,1548.16,0.4983721636,18.515625,2.01,0,929.63,"5",1.35,59,"05JUL2005"
0,"SH",19,1,"P",1.07,300,9,1,26.875,6,1,37,98.31,0.1288828617,84.5,1,0,0,"3",0,-46,"05JUL2005"
0,"SF",22,4,"P",1.16,1033.66666666667,23,1.44,1,10,4,69,228.57,0,73.53125,1.04,0,127.03,"5",2.44,75,"05JUL2005"
0,"SM",18,1,"P",1.04,510.166666666667,11.5133333333333,1.1,8.5,22,0.25,11,108.89,0,48.4921875,1,0,24.2399999999999,"5",2,112,"06JUL2005"
0,"SO",19,1,"P",1,350,5,1.1,0,18,3,16,156,0.0340020311,58.453125,1.03,0,10.9499999999997,"5",2.76,100,"06JUL2005"
420,"SO",39,1.08,"R",1.99,2391.5,19.51,2.62,198.675,3.28,1,5.41,2081.4,0.0932218749,10.587890625,1.63,0,527.93,"5",3,-122,"06JUL2005"
0,"SM",49,0,"H",1.46,800,14,3,131,2,2,2,466,0.111542661,74.5625,1,2,17,"1",1.32,-121,"06JUL2005"
0,"SM",40,0,"R",2.48,250,18,3,110,7.94,5,2,842.17,0,51.4296875,3,2,194,"3",1,-97,"06JUL2005"
0,"SA",22,0,"P",1.14,575,28.81,1.31,40.75,11.11,2,2,427.64,0,73.25,1.07,0,12.8299999999998,"5",2.24,-105,"06JUL2005"
1,"SL",21,3,"R",1.12,570,16,1,32.83,18,2,8,294.436666666667,0.5784072708,16.5703125,1.15,0,0,"3",2.04,98,"06JUL2005"
440,"SO",22,5,"P",1,150,4,1,0,12,3,22,153.95,0.3067681463,47.609375,1.21,0,0,"3",3,107,"06JUL2005"
800,"SB",20,2,"P",1.3,577,22,1,22.875,21,1.91,37,221.43,0.0201630226,65.5,1.09,0,0,"3",1.9,109,"06JUL2005"
0,"SO",18,0,"P",1.09,566.625,9.32,1.09,4.88,18,0,70,80.84,0,84.96875,1.06,0,1.88999999999956,"5",3.01,103,"06JUL2005"
0,"FT",37,0.9,"R",1.2,1988.5,27.42,1.41,88.5,6.69,3.08,10.57,1274.54,0,42.9464453125,1.08,0,118.21,"4",1.87,126,"07JUL2005"
0,"SB",19,1,"P",1,496.5,4,1.12,0,10,1,6,198.41,0.6327479072,60.7109375,1,0,51.1275,"5",2,152,"07JUL2005"
1,"SB",20,0,"P",1,458.5,5,1,11,15,1,7,172.073333333333,0.1692024465,52.1484375,1,0,0,"3",2,132,"07JUL2005"
460,"SO",18,0.92,"P",1.22666666666667,529,58,1,23.96,5,1,49,175.96,0.0363143244,69.71875,1.03,0,0,"3",1.78,127,"07JUL2005"
660,"SF",29,1.1,"R",1.08,926.5,28.93,1.53,24.83,6.3,1.76,7.1,711.25,0.2361545428,53.5078125,1.03,0,21.9399999999999,"5",2.29,-136,"07JUL2005"
1,"SO",30,0.86,"P",1.05,1978.5,23.51,1.34,30.3,18.54,6.8,20.03,424.68,0.0889158836,70.375,1.02,0,39.4699999999998,"5",3.02,146,"07JUL2005"
0,"SB",20,1,"R",1.11,322.142857142857,20.53,1.16,61.29,4.55,0.51,10.0425,329.82,0.3030984243,29.5234375,1,0,55.37,"5",0,-125,"07JUL2005"
1,"SC",20,4,"P",1.29,596.5,12,2,30.07,14.74,1.87,21.69,227.08,0.0774014208,33.8359375,1,2,435,"3",1.52,134,"07JUL2005"
1,"SD",21,1,"R",2.17,563.5,11,1,288.584444444444,5.45,1.58,1,923.85,0.2123180926,47.53125,4,0,0,"3",0,-149,"07JUL2005"
0,"SO",19,0.95,"P",1.14,299.5,15.11,1.1,30.72,19,0.71,6,172.64,0.011505964,31.4453125,1,0,28.06,"5",1,-137,"07JUL2005"
0,"SB",19,1,"R",1.08,325.5,17.79,1.12,80.13,6.7,1.1425,13.895,305.04,0.2199040083,5.806640625,1.03,0,17.5199999999996,"5",2.16,185,"08JUL2005"
0,"SA",31,1,"R",1.85,1450,7,4,100,0,0,16.29,465,0.0787403781,30.453125,2,3,3859,"3",1,181,"08JUL2005"
0,"SO",19,0,"P",1.36,374,14.07,1.4275,34.95,6,3,38,210.65,0.2546288511,57.75,1,0,39.73,"5",1,173,"08JUL2005"
1,"SE",37,1,"R",1.3,2471.5,24.02,1.59,28.27,5.54,1.91,7.24,1426.1,0,50.71818359375,1.05,0,211.97,"5",1.94,-172,"08JUL2005"
0,"SB",30,3,"P",2,950,2,1,15,13.32,2.46,12.23,555.125,0.3036051607,50.8828125,2,0,0,"3",0,-170,"08JUL2005"
0,"SN",22,2,"H",1,1800,4,3,0,11.3133333333333,0,19.4,340,0,62.228515625,2,3,1517,"3",0,-177,"08JUL2005"
0,"SD",17,0,"P",1.02,192,13.2266666666667,1.04,48.65,10,0.25,17.1,139.603333333333,0,34.6171875,1.06,0,-4.32009983342141e-13,"5",2.55,182,"08JUL2005"
0,"SO",18,0.64,"P",1.05,238,15.0125,1.04,33.73,18,0,12,132.91,0.2416598001,46.5078125,1.04,0,1.5799999999998,"5",1.93,-187,"08JUL2005"
0,"SF",17,0,"P",1.17,444,18.67,1.16,24.34,27,0.179999999999999,12,151.13,0.1336012962,67.5,1,0,27.5,"5",1,159,"08JUL2005"
500,"SG",20,1.45,"P",1.06,950,10,1,0,19,3,19,0,0,84.046875,1.06,0,0,"3",2.93,189,"08JUL2005"
1,"SN",20,2,"P",1.05,1159.5,63,1,29.255,18,2,36,302.82,0.4447631948,36.2421875,1.07,0,0,"3",2.81,184,"08JUL2005"
300,"SB",28,1.68,"P",1.09,898.785714285714,16,3,16.99,13.4,4,20.88,517.75,0,64.0581640625,1.05,0,0,"3",2.462,221,"09JUL2005"
2,"SK",24,0.94,"R",1.04,720.5,20.57,1.1,36.62,5.73,1.32,10.88,451.14,0,48.200078125,1.02,0,10.7599999999997,"5",2.78,214,"09JUL2005"
700,"SO",23,0.94,"R",1.07,1075.5,14,1,29.58,6,1.33,11.46,488.67,0.1056520313,45.921875,1.07,0,0,"3",3,196,"09JUL2005"
500,"SN",29,1.66,"H",1,600,2,1,40.0366666666667,3,4,1,0,0.049481376,71.09375,1,0,0,"3",1,209,"09JUL2005"
0,"SA",59,1.37,"H",1.26,16791.5,28,1,69.6,9.355,27,2,5280.44,0.3830303224,60.796875,1,0,435.51,"5",0,207,"09JUL2005"
0,"SA",18,0,"P",1,318,5,1,42.23,19,1,10,136.993333333333,0.0501144432,48.671875,1.16,0,0,"3",2.79,-220,"09JUL2005"
0,"SA",23,1.99,"P",1.14,1374.5,13,3,30,15,4,22,422.67,0.0483325551,77.734375,1,3,1058,"3",1.64,-224,"09JUL2005"
220,"SA",18,0.79,"P",2,512.5,1,1,183.16,4,0.31,31,239.115,0.2129874374,73.578125,3,0,0,"3",1,-204,"09JUL2005"
320,"SA",20,0,"P",1,1052,1,3,0,7,2,31,415.61,0,40.0546875,1,0,0,"3",1,206,"09JUL2005"
1,"SB",20,2,"P",1.02,400.5,12.83,1.1,8.72,16.32,1.63,19.63,146.153333333333,0.2426231941,58.4296875,1.03,0,22.1299999999998,"5",3.17,255,"12JUL2005"
0,"SG",22,1,"R",1,300,6,3,65,14.33,8,25.86,0,0.2287251959,67.046875,1,1,0,"3",0,252,"12JUL2005"
0,"SM",19,1,"P",1.04,350,10,1,14,10.36,1,18.5,185,0,31.69140625,1.02,0,0,"3",4,251,"12JUL2005"
280,"SO",25,1.87,"P",1.41,50,30,1,43.8,15.76,6,23.74,286.12,0.3855389468,59.796875,1,0,296.44,"3",0,228,"12JUL2005"
0,"SA",28,2,"H",1,1966,2,1,0,6.38,1,7,871.77,0.2447945941,57.2421875,1,0,0,"3",0,229,"12JUL2005"
1,"SO",20,1.23,"P",1.04666666666667,519,27,1,0,12.2866666666667,1.348,28,185.91,0,43.3046875,1.1,0,0,"3",2.97,246,"12JUL2005"
700,"SN",23,1,"P",1.2,750,12,1,0,23,3,36,218,0.2589319274,60.8359375,1.19,0,0,"3",2.41,253,"12JUL2005"
1,"SO",20,0,"R",1.22,377.5,21.02,1.14,102.12,2.57,0.55,9.86,320.474285714286,0.0042099194,33.046875,1.31,0,15.7099999999998,"5",2.31,-243,"12JUL2005"
0,"SA",21,1,"P",1.33,1345.5,30,1,40.4,0,1,2,552.3,0.1496091099,71.84375,1,1,1885,"3",0.99,-238,"12JUL2005"
0,"SM",18,0,"P",1.03,621.5,14.3,1.06,10.09,20,0,14,81.86,0,73.09375,1.01,0,2.05999999999952,"5",2.88666666666667,239,"12JUL2005"
1,"SA",18,0.69,"P",1.03,267.733333333333,20.86,1.03,52.99,5,0.149999999999999,37,218.15,0,85.0625,1.05,0,1.76999999999954,"5",2.6,237,"12JUL2005"
0,"SH",20,1,"P",1.42,1255.5,13,1.64,0,10,2,64,483.32,0.1105402287,46.6796875,1,0,373.91,"5",0,-227,"12JUL2005"
0,"SB",19,1,"R",1.05,459.5,42,1.01,69.78,6.27,0.915,11,381.69,0,57.515625,1.09,0,5.76999999999956,"5",2.62,261,"13JUL2005"
0,"SO",19,1.32,"P",1,700,2,1,25.01,24,2,40,0,0.0239064774,16.51953125,1,1,637,"3",1.09,266,"13JUL2005"
300,"SO",19,1.35,"R",1.02,436,19.5033333333333,1.05,27.18,8.14333333333333,0.78,8.79,212.49,0.074922007,30.921875,1.02,0,20.1599999999996,"5",2.39,262,"13JUL2005"
300,"SB",25,1.26,"R",1.13,512.5,9,1,116.23,2.61,0,8.33,394.495,0.0769457731,28.3125,1.28,0,0,"3",3,-271,"13JUL2005"
1,"SO",27,0,"P",3.6,2086.5,9,5,413.545,16.48,8.09,21.25,1216.81,0.0308624523,35.1875,5,3,1981,"2",1,-267,"13JUL2005"
480,"SB",33,1.42,"R",6,1090.5,3,2,47,7.46,3.32,2,631.19,0,59.6953125,3,1,0,"3",0,-281,"13JUL2005"
1,"SL",21,3,"P",1,950,5,1,0,0,0,4,442.643333333333,0.051472179,65.125,1,0,0,"3",2,269,"13JUL2005"
0,"FT",16,0.763333333333333,"P",1.04,511,33.16,1.05,46.8,6,0.7,5,423.19,0,77.90625,1.06,0,3.45999999999957,"5",2.66,270,"13JUL2005"
0,"SB",19,0.71,"P",1.38,413,19.88,1.07,82.47,2,0.5975,8,556.89,0.4879172426,58.265625,1.45,0,13.1599999999998,"5",2.18,-279,"13JUL2005"
200,"SO",16,0.97,"P",2,773.833333333333,2,1.38,45,14,0.97,8,395.05,0.0794653397,79.25,3,0,135.126666666667,"5",0,-257,"13JUL2005"
1,"SL",23,4,"R",1.45,800,17,1.55,0,0,2.58,10,683,0.0190933533,92.828125,1,0,553.24,"5",0,264,"13JUL2005"
0,"SO",20,1,"P",1.75,1079,36,1,212.455,8.67,2.33,11,477.88,0,76.875,2,1,1238,"2",0,-258,"13JUL2005"
0,"SN",27,1,"R",1.05,1421,17.65,1.01,33.92,4.69,0,9.79,645.68,0.1925971992,61.1796875,1.06,0,11.5399999999998,"5",2.64,284,"14JUL2005"
1,"SN",20,2,"P",1.33,750,10,1,1,15,2,25,1,0.0520457508,87.03125,1,1,554,"3",0,312,"14JUL2005"
800,"SO",25,0.88,"H",1.11,2036.5,19.74,1.14,28.71,6.45,1.64,11.69,985.44,0,53.442358398438,1.04,0,31.8699999999999,"4",2.63,297,"14JUL2005"
0,"SB",18,0.82,"R",1,258.25,5,1,84.71,7.575,0.21,15.0693333333333,232.635,0.321676367,73,1.2,0,0,"3",2.35,302,"14JUL2005"
0,"SN",20,2,"P",2,300,4,2,0,11.29,1,16.6733333333333,295.36,0.374835101,57.1953125,3,1,0,"3",0,-288,"14JUL2005"
1,"SO",18,0,"P",1.61,1020,50,1,90.685,6,1,2,453.663333333333,0.6216350775,29.75390625,1.73,0,0,"3",0.71,300,"14JUL2005"
0,"SC",20,1,"P",1.32,1800,12,2,39.4,9.45,2.39,3,435.01,0,72.921875,2,2,692,"3",1,-285,"14JUL2005"
0,"SK",18,0,"P",1.17,635.5,17,2,33.71,5,0.555,5,327.305,0,59.296875,1,1,0,"3",0.6,-287,"14JUL2005"
100,"SO",18,0.72,"P",1.04,536,11.72,1.04,8.66,24,1,5,86.792,0,24.07421875,1.04,0,2.61999999999959,"5",3.28,292,"14JUL2005"
0,"SO",18,0.46,"P",1.03,272.75,12.66,1.08,25,10.41,0.53,20,79.95,0,69.661875,1.02,0,4.88999999999982,"5",1.56,-314,"14JUL2005"
800,"SO",18,0.97,"P",2,200,5,1,0,19,0,22,155,0,54.3671875,1,1,8,"3",2,293,"14JUL2005"
0,"SH",19,0,"P",1.46,623,26,2,229.943333333333,7,1,27,348.48,0.1084163808,89.875,1,0,0,"3",1,-316,"14JUL2005"
0,"SL",19,0,"P",1,350,3,1,1,7,1,58,31,0.0125691663,83.09375,1.11,0,0,"3",2.375,318,"14JUL2005"
0,"SO",18,1,"P",1.41333333333333,534.75,33.48,1.14,101.99,15.24,0.149999999999999,23.83,386.58,0.8201207723,75.515625,1.21,0,12.0899999999998,"5",1.19,332,"15JUL2005"
280,"SD",34,0,"R",1.44,4800,8,1,0,8.675,7,7.62,867,0.2153496407,35.875,1,0,0,"3",2,-334,"15JUL2005"
1,"SL",23,3,"P",1.24,1450,13,1,1,13.51,6,15.81,403,0.4283862226,56.390625,1,1,482,"3",1.2,336,"15JUL2005"
500,"SO",25,1.12,"R",1.17,662.5,14,1,0,5.265,0.92,7.0125,409.835,0.0262945963,56.3125,1,0,0,"3",1,-340,"15JUL2005"
500,"SF",35,0,"H",2,200,5,3,0,12.9166666666667,5,20.85,217,0,60.21875,2,2,0,"3",1,-351,"15JUL2005"
1,"SD",19,0,"P",1.5,548.5,10,1.56,441,4,1,12.97,331.994285714286,0.1317599392,20.7578125,1,0,68.23,"5",0,-355,"15JUL2005"
580,"SB",18,0,"P",2,100,4,1.44,45,4,0,1,124,0.1540505853,40.3203125,1,0,84.3,"5",1,328,"15JUL2005"
1,"SL",19,1,"P",1.04,250,9,1,0,14,1,15,118.95,0,61.8828125,1.03,0,0,"3",4,356,"15JUL2005"
10,"SO",17,0.55,"P",1.01,473,11.62,1.06,3.52,11,0.491111111111111,15,138.192,0.1302977661,57.7578125,1.03,0,0.319999999999532,"5",3.29,347,"15JUL2005"
100,"SO",24,1.05,"R",1.02,902.5,16.19,1.06,20.25,3.92,1.13,9.54,472,0,51.502109375,1.02,0,5.44999999999973,"4",3.05,370,"16JUL2005"
1,"SD",25,4,"R",1.15,2141,24.93,1.83,43.6,0,2.8,10.695,1356.28,0.5220776424,43.4296875,1,0,756.17,"5",2,-371,"16JUL2005"
1,"SL",25,6,"R",1.17,2904.5,33,1,29,0,5.34,16.07,1016.13,0.033054173,49.25,1,1,206,"3",1.23,375,"16JUL2005"
0,"SO",21,0.9,"R",1.18,405,24.51,1.07,57.46,6.54,1.06,9.53,426,0,30.80859375,1.05,0,28.8099999999998,"5",1.5,379,"16JUL2005"
0,"SL",22,3,"P",1.06,650,21,1,0,2,2,3,303.03,0,76.90625,1.05,0,0,"3",2.77,373,"16JUL2005"
0,"SA",20,2,"P",1.2,1165.5,10,2,38.26,7,2,9,428.43,0.2233239948,45.9296875,2,2,1778,"3",1,-369,"16JUL2005"
0,"SC",20,2,"P",1.07,675,18,1,12.7,24,3,16,147.296666666667,0.3413041178,48.5703125,1.07,0,0,"3",3.09,372,"16JUL2005"
0,"SM",22,3,"P",1.05,1068.5,63,1.36,1,18,4,26,153.91,0,71.5,1.08,0,60.9699999999998,"5",2.74,362,"16JUL2005"
0,"SL",19,1,"R",1.3,300,15,1,145,11.87,1.16,26,234.13,0.0315920775,77.390625,2,1,267,"3",0,391,"19JUL2005"
220,"SE",27,1.04,"P",1.02,1881,35,1.19,37.54,8,9,7,837.18,0.0733236489,51.15625,1.02,0,28.2599999999998,"5",2.73,433,"19JUL2005"
1,"SE",28,1.18,"R",1.06,1132,18.83,1.15,69.84,4.49,1.21,14.09,643.45,0,68.5625,1.02,0,17.6899999999997,"5",2.41,401,"19JUL2005"
0,"SH",19,0,"P",1.08,491.5,31.665,1.14,36.25,11.89,0.68,28.3,403.08,0,69.16703125,1.05,0,20.6099999999998,"4",2.05,-415,"19JUL2005"
60,"SO",19,0.59,"P",1.03,224,14.78,1.17,28.31,11.3871428571429,1.03,8.29,185.87,0.3232663982,42.515625,1,0,17.1399999999999,"5",0,-396,"19JUL2005"
0,"SB",17,1,"P",1.97,482,15,1.4,1,10.49,0,22.955,460.83,0.3099826621,60.4453125,3,0,80.8466666666667,"5",1,-397,"19JUL2005"
0,"SA",22,5,"R",1.1,500,16,1.34,0,5.615,0.88,9.7325,465,0,49.796875,1.09,0,101.26,"5",2.23,-400,"19JUL2005"
200,"SA",26,2,"R",1,1088.5,2,1,0,8.88,1,11.84,488.87,0,14.50390625,2,0,0,"3",0,-392,"19JUL2005"
760,"FT",26,1.63,"H",2,200,3,1,0,11.95,2.46,21.692,218,0.0857823954,51.78125,3,0,0,"3",0,390,"19JUL2005"
1,"SH",20,2,"P",1.02,697.5,22,1,16.38,11,0,4,136.19,0,68.71875,1.04,0,0,"3",2.89,431,"19JUL2005"
0,"SO",17,0.82,"P",1.31,336,30.56,1,62.6066666666667,3,0.139999999999999,6,346.743333333333,0.0946193216,48.5625,1.14,0,1.76999999999969,"5",1.58,410,"19JUL2005"
0,"SO",22,0,"P",1.23,2500,15,1,0,18,5,8,1178,0.1308029345,46.984375,1,0,0,"3",0,-399,"19JUL2005"
1,"SO",17,0,"P",1.63,477.375,24.87,1.34,97.59,0,0.69,8,371.1,0.5686681084,15.591796875,1,0,68.48,"5",0,395,"19JUL2005"
1,"SO",20,3,"P",1.33,855.5,20,2,6.69,21,4,19,160.2,0,61.3828125,1,1,0,"3",0,388,"19JUL2005"
0,"SO",17,0,"P",1.12,275.333333333333,11.785,1.14,29.645,22,0,35,60.79,0,81.46875,1,0,7.44999999999992,"5",0,386,"19JUL2005"
1,"SB",23,5,"P",1,1650,6,2,1,27,5,36,1,0,58.5546875,1,2,1090,"3",0,387,"19JUL2005"
220,"SA",25,0,"R",1.17,1225.5,21.2133333333333,1.14,76.48,6.76,1.12,5.82,566.96,0.1351596522,13.271484375,1.05,0,44.7099999999998,"5",1.88,444,"20JUL2005"
800,"SM",29,1.11,"R",1.05,1573,18.61,1.23,29.33,6.17,2,11.35,725.88,0,43.66765625,1.04,0,17.6799999999998,"4",2.93,459,"20JUL2005"
1040,"SB",22,4,"R",1.54,500,8,1.29,0,11.69,2.34,23.52,464,0,51.882666015625,1,0,455.75,"5",0,443,"20JUL2005"
1700,"SB",27,0,"R",1.29,1121.5,9,1,90,4.24,1.67,7.33,773.338333333333,0.4701248929,56.65625,1,0,0,"3",2,-455,"20JUL2005"
0,"SM",21,0,"P",1.01,878,25.1,1.23,56.72,7.14,3.57,1,627.6,0.0824950968,47.2265625,1.01,0,21.5499999999998,"5",2.65,451,"20JUL2005"
0,"SO",16,0,"P",1.01,202.25,15.05,1.04,28.46,10.7,0.14,13,89.91,0.0316878845,76.875,1,0,8.24999999999989,"5",0.39,-465,"20JUL2005"
0,"SB",20,1,"R",1.38,400,8,3,46,2,3,14,450.86,0,74.5625,1,3,691,"3",1,-454,"20JUL2005"
1200,"SL",22,3.05,"P",1.3,500,11,2,0,13,4,18,404,0.1166574366,55.6484375,1,2,558,"3",4,437,"20JUL2005"
0,"SF",17,0,"P",1.09,570,20.7766666666667,1.03,18,25,0.286666666666667,32,92.23,0,47.828125,1.09,0,2.99999999999953,"5",2.85,440,"20JUL2005"
0,"SE",19,0,"P",1.39,950,28,2,86.0666666666667,15,1,51,582.524,0.2037704042,39.9140625,1,2,850,"3",0.57,-445,"20JUL2005"
460,"SO",20,1.29,"R",1.04,580.5,17.63,1.02,7.46,7.92,1.42,11.89,317.466666666667,0,53.87376953125,1.04,0,8.21999999999966,"4",3.13,478,"21JUL2005"
0,"SO",21,1,"P",1.16,537,21.2,1.1075,22.24,21,3,34,201.71,0.2623453746,63,1,0,41.59,"5",1,496,"21JUL2005"
0,"FT",23,0.94,"R",1.05,1223.5,23.78,1.09,47.53,4.43,1.65,8.2,621.97,0,47.8965625,1.05,0,15.4299999999997,"4",2.65,495,"21JUL2005"
400,"SO",19,2,"P",1.07,427.5,9,1,1,11.46,0,15.95,147.4775,0,48.734375,1,1,228,"3",3,491,"21JUL2005"
0,"SO",20,0,"P",2,300,2,1,41,7.835,3,3,218,0.0789108081,45.359375,2,0,0,"3",0,-467,"21JUL2005"
0,"SC",19,0,"R",1.06,343,31.1,1.05,29.37,11.03,0.53,9,377.463333333333,0.0173033884,56.296875,1.04,0,16.6999999999998,"5",2.11,-504,"21JUL2005"
0,"SB",18,0.64,"P",1.02,272,18.7944444444444,1.04,49.79,2,0,16,249.613333333333,0,81.078125,1.04,0,-4.73789896204835e-13,"5",2.302,502,"21JUL2005"
0,"SO",21,3,"P",1.12,500,30,2,30.85,16,4,20,433,0.0360805466,68.265625,1,2,341,"3",1.4,-470,"21JUL2005"
120,"SO",18,1.01,"P",1.02,300.4,31,1,21.7866666666667,13.34,0.453,23,93.5566666666667,0.0933032925,50.1328125,1.06,0,0,"3",2.375,485,"21JUL2005"
400,"SO",20,2,"P",1.14,150,13,1,9.086,21,1.53,24,0,0.0977494556,49.109375,1,1,41,"3",3,483,"21JUL2005"
0,"SA",23,4,"P",1.24,1450,40,1,48.555,4,5,27,730.68,0,85.796875,1,1,754,"3",0.8,473,"21JUL2005"
0,"SO",16,0.52,"P",1.07,3056.5,38.43,1.34,48.46,18,17.08,41,867.47,0,36.8515625,1.06,0,33.0299999999999,"5",2.87,497,"21JUL2005"
0,"SF",22,0,"P",1.15,923.5,25.46,1.63,39.5386666666667,4,2.86,53,591.09,0,83.28125,1.1,0,121.72,"5",1.78,-505,"21JUL2005"
0,"SO",20,2,"P",1.1,300.5,12.63,1.07,27.655,9.27,1.77,11.03,161.256666666667,0.1747633978,58.2109375,1.06,0,6.30999999999982,"5",2.45,-525,"22JUL2005"
0,"SH",26,1,"R",1.11,757.5,26.49,1.41,60.51,4.43,1.03,10.15,593.89,0.1762086679,36.484375,1.05,0,28.3733333333332,"5",2.3,-540,"22JUL2005"
0,"SO",26,4,"R",1.63,2150,18,1,190,7.03,2.81,9.3,802.7,0.5164852608,35,1,1,2451,"3",1,-538,"22JUL2005"
0,"SK",19,0,"P",1.11,490.666666666667,24.71,1.19,25.06,2,2,6,385.45,0.0561959256,59.984375,1.02,0,24.5199999999998,"5",2.08,-510,"22JUL2005"
400,"FT",20,2.21,"P",1.44,2101.5,33.35,1.73,59.62,0,13,6,1556.84,0.0173207758,48.3515625,1.09,0,688.03,"5",1.92,-526,"22JUL2005"
0,"SF",19,1,"P",1.12,200,30,1,44.79,1,1,12,447.3,0.0128079711,74.984375,1,0,0,"3",1,534,"22JUL2005"
1,"SA",22,2,"P",1.24,1731,10,2,0,20,4,15,523.1,0,44.8203125,1,2,1040,"3",4,509,"22JUL2005"
